algorithm,timesteps,n_training_seeds,mean_validation_reward_across_training_seeds,std_validation_reward_between_training_seeds,median_validation_reward_across_training_seeds,min_validation_reward_across_training_seeds,max_validation_reward_across_training_seeds
dqn,25000,4,-68.71746114999999,31.44834218528917,-78.54673489999999,-93.18136100000001,-24.595013800000004
dqn,50000,4,-63.95373955000001,48.23561478837337,-87.34389720000001,-89.47215,8.3449862
dqn,75000,4,-64.44930845,27.13167447094424,-63.559115999999996,-93.18136100000001,-37.4976408
dqn,100000,4,-58.44086885000001,42.20963887281218,-70.6336331,-93.18136100000001,0.6851518000000013
dqn,125000,4,-58.868187400000004,39.622924046629656,-59.078187400000004,-93.18136100000001,-24.1350138
dqn,150000,4,-69.0685135,30.847438695818354,-79.34883959999999,-93.18136100000001,-24.3950138
dqn,175000,4,-89.83124330000001,2.294225259512975,-89.0792256,-93.18136100000001,-87.98516099999999
dqn,200000,4,-72.96845435,29.784109814326317,-84.5546646,-93.18136100000001,-29.5831272
dqn,225000,4,-52.477378900000005,33.99130698534637,-46.2565704,-93.18136100000001,-24.2150138
dqn,250000,4,-51.2968733,40.56186835054004,-51.041665300000005,-93.18136100000001,-9.9228016
dqn,275000,4,-16.009343800000003,77.37617981185693,-30.945336000000005,-93.18136100000001,91.0346578
dqn,300000,4,-21.2071922,61.801079056869916,-28.954842999999997,-88.3527778,61.433695
dqn,325000,4,-43.2316406,44.63607604900573,-46.2956347,-87.4814672,7.1461742
dqn,350000,4,21.36934935,57.398465471082126,-1.7887105,-17.0722558,106.1270742
dqn,375000,4,24.417023500000003,103.54505993760975,-2.9814960000000017,-66.28919719999999,169.9202832
dqn,400000,4,24.049076649999996,62.005350049260585,11.8355091,-27.102808600000003,99.628097
dqn,425000,4,-6.9507254,81.15623148959564,-19.328978999999997,-79.43821840000001,90.2932748
dqn,450000,4,-70.2928076,16.982494120985937,-74.0275283,-86.362722,-46.75345180000001
dqn,475000,4,-31.80592345,44.94275592723415,-52.744495799999996,-57.17234559999999,35.43764339999999
dqn,500000,4,111.230633,107.13734294259741,115.8655148,-24.4289592,237.6204616
dqn,525000,4,51.23968665000001,55.025765830823396,49.735455,-1.837788599999999,107.32562520000002
dqn,550000,4,135.45168625,129.715303317886,140.923037,-8.2388412,268.1995122
dqn,575000,4,140.4806662,152.1063422384761,126.177527,-27.757027200000003,337.324638
dqn,600000,4,204.45129929999996,287.2590134205403,160.65415789999997,-48.571695600000005,545.0685769999999
dqn,625000,4,138.00495210000003,119.20394771607893,163.01621580000003,-20.920715199999997,246.90809200000004
dqn,650000,4,202.06288490000003,195.8001066887729,256.9327679,-67.6155818,362.00158560000006
dqn,675000,4,150.9221307,212.49479271359735,128.270175,-77.876131,425.02430380000004
dqn,700000,4,317.5409184,85.90856518665734,337.63009569999997,196.18604019999998,398.717442
dqn,725000,4,276.49578440000005,208.28115803577714,259.4115743,41.0643894,546.0955996
dqn,750000,4,263.3260122,287.3099762880278,272.0749095,-70.3527952,579.507025
dqn,775000,4,252.97665905,293.4057613838429,251.9029917,-75.188397,583.2890498
dqn,800000,4,382.8250538499999,232.69662995525672,334.58578309999996,158.20701019999998,703.9216389999999
dqn,825000,4,242.70247639999997,172.81582655866055,255.8833962,32.066424,426.97668919999995
dqn,850000,4,240.39714229999998,269.8212818061553,258.6553372,-50.710634000000006,494.9885287999999
dqn,875000,4,297.06783014999996,197.1293763486498,344.0639792,42.042389199999995,458.10097299999995
dqn,900000,4,202.62776,170.18699524484367,192.1665463,19.0176452,407.1603022
dqn,925000,4,205.662488,171.7664484449806,287.92717,-51.5892468,298.3848588
dqn,950000,4,159.30236714999998,202.4953265143502,134.806771,-54.6368082,422.2327348
dqn,975000,4,150.55959130000002,132.62465005742854,210.2084652,-47.7252116,229.54664640000001
dqn,1000000,4,2.1110145999999994,43.45613787407017,12.746860299999994,-57.204108399999996,40.154446199999995
ppo,25000,4,90.35989235,119.19547835808761,79.25010230000001,-23.7550138,226.6943786
ppo,50000,4,138.39561304999998,111.65500169797446,138.16014869999998,3.1777135999999997,274.0844412
ppo,75000,4,409.98508615000003,153.75328359657834,373.4852075,266.213827,626.7561026
ppo,100000,4,434.8083047,213.3485008928448,405.7272702,208.7498542,719.0288241999999
ppo,125000,4,399.48606395,107.4811614802519,390.4759355,300.889576,516.1028088
ppo,150000,4,454.7021877000001,367.09520550276164,589.7519918,-86.362722,725.6674892
ppo,175000,4,404.3667626,324.2456642385818,490.03652550000004,-39.806444799999994,677.2004442
ppo,200000,4,202.7626381,312.38883743056005,193.48247,-93.18136100000001,517.2669734
ppo,225000,4,321.60058435,382.79304108030686,318.36528830000003,-93.18136100000001,742.8531218
ppo,250000,4,322.69685415000004,293.91271900516927,325.522323,-39.8529424,679.595713
ppo,275000,4,368.14521005,295.9108504689982,379.8147746,27.030723000000002,685.920568
ppo,300000,4,306.66694025,248.9661061211787,347.4217227,-10.937001200000001,542.7613168
ppo,325000,4,431.713086,334.49643420681934,471.3539303,39.2124576,744.9320258
ppo,350000,4,267.9586515,278.69587565686714,301.77961200000004,-66.7261878,535.0015698
ppo,375000,4,411.85961805,351.44478238986386,485.04186450000003,-42.1321644,719.4869075999999
ppo,400000,4,328.12275925,345.77766289869766,263.9339872,38.309953799999995,746.3131088
ppo,425000,4,433.3046044,298.3546349078915,499.86561869999997,55.7417148,677.7454654000001
ppo,450000,4,500.40091295,153.01954155233878,504.41597730000007,319.2426896,673.5290076
ppo,475000,4,446.65693215,114.18741970409172,475.63579799999997,287.78548820000003,547.5706444
ppo,500000,4,443.7283817,296.37165793178474,384.7395878,159.60766640000003,845.8266848
ppo,525000,4,477.46036335,215.12603599160002,511.727403,196.36302759999998,690.0236198
ppo,550000,4,285.79709950000006,188.37998381208726,295.7084411,47.7645632,504.00695260000003
ppo,575000,4,499.83311195,134.97160417393548,477.69866289999993,364.61596499999996,679.3191569999999
ppo,600000,4,567.5818235500001,145.98231283013112,517.5026616,454.4987172,780.8232538
ppo,625000,4,481.55248114999995,137.48876989803333,497.37964329999994,305.1838916,626.2667464
ppo,650000,4,496.9776041,176.94858518623312,509.06230989999995,287.695631,682.0901656
ppo,675000,4,500.3732767,92.06063432755158,490.9331085,410.0880418,609.5388479999999
ppo,700000,4,629.1369909499999,215.49505129591586,687.4837904999999,328.1394644,813.4409184
ppo,725000,4,478.10712979999994,137.13577954809475,462.10569519999996,328.01735399999995,660.1997748
ppo,750000,4,408.1224327,87.61889964301865,419.1888083,295.5408592,498.571255
ppo,775000,4,452.9663469500001,161.09278409023867,452.20729790000007,258.69274800000005,648.758044
ppo,800000,4,526.4779622,235.25981179620206,466.31054600000004,326.8152274,846.4755293999999
