algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
dqn,10,25000,5,-89.2353428,2.328407315644014,-88.888889,-92.565056,-85.507246,1000.0
dqn,10,50000,5,-89.284211,4.764990246726014,-92.45283,-93.690852,-81.412639,1000.0
dqn,10,75000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,10,100000,5,-83.7646218,3.2998871278250355,-84.90566,-87.381703,-77.695167,1000.0
dqn,10,125000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,10,150000,5,-85.10089239999999,2.4811494583405205,-85.130112,-88.888889,-81.072555,1000.0
dqn,10,175000,5,-89.1976294,2.5038295220554154,-88.888889,-92.753623,-85.130112,1000.0
dqn,10,200000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,10,225000,5,-24.6550138,50.12188583323149,-56.954717,-69.853943,61.291078,331.0
dqn,10,250000,5,-78.1483168,18.838516807124403,-92.45283,-93.690852,-47.95539,1000.0
dqn,10,275000,5,-23.835013800000002,49.99088500548366,-56.254717,-69.253943,61.891078,322.8
dqn,10,300000,5,-88.3527778,7.370255401374027,-92.45283,-93.690852,-73.977695,1000.0
dqn,10,325000,5,-73.3362556,24.54302826019496,-92.45283,-93.690852,-36.111111,1000.0
dqn,10,350000,5,6.8579973999999995,43.79505060145551,-20.754717,-33.753943,82.156134,1000.0
dqn,10,375000,5,-66.28919719999999,8.680363313045632,-63.768116,-80.555556,-54.716981,1000.0
dqn,10,400000,5,49.959938,43.61624821863696,47.169811,-8.333333,126.765799,1000.0
dqn,10,425000,5,90.2932748,93.2320816673269,118.867925,-92.753623,158.675079,1000.0
dqn,10,450000,5,-77.56133799999999,9.678434389870215,-75.0,-89.130435,-66.542751,1000.0
dqn,10,475000,5,-55.7070666,47.11751792537298,-87.381703,-92.753623,30.111524,1000.0
dqn,10,500000,5,237.6204616,216.04754309085945,236.956522,-3.698423,561.710037,954.6
dqn,10,525000,5,-1.837788599999999,94.98265217769926,-21.933333,-92.753623,161.829653,754.8
dqn,10,550000,5,218.8632558,162.33837840278068,306.940063,-92.753623,341.509434,1000.0
dqn,10,575000,5,337.324638,199.6063120495385,360.377358,33.333333,588.405797,1000.0
dqn,10,600000,5,339.0863262,123.76695988123957,371.698113,189.855072,528.252788,1000.0
dqn,10,625000,5,116.86236860000004,247.84210396192532,-42.028986,-93.690852,520.817844,1000.0
dqn,10,650000,5,362.00158560000006,230.37043766496257,466.037736,-52.681388,573.913043,1000.0
dqn,10,675000,5,-77.876131,24.27698786289814,-89.130435,-91.666667,-29.36803,1000.0
dqn,10,700000,5,398.717442,166.1666567007136,385.804416,111.895911,581.15942,1000.0
dqn,10,725000,5,546.0955996,165.4854250968631,454.347826,395.268139,855.390335,1000.0
dqn,10,750000,5,137.58327100000002,216.99831957865982,7.255521,-85.507246,505.947955,1000.0
dqn,10,775000,5,583.2890498,121.48797049833182,541.304348,448.895899,755.018587,1000.0
dqn,10,800000,5,158.20701019999998,233.86361178710382,9.433962,-90.536278,497.222222,1000.0
dqn,10,825000,5,32.066424,109.93077280214781,-16.666667,-50.943396,244.202899,1000.0
dqn,10,850000,5,443.29463080000005,206.74162822427215,414.195584,174.044444,695.539033,983.4
dqn,10,875000,5,447.0033992,111.91958901817138,422.222222,278.548896,587.732342,1000.0
dqn,10,900000,5,266.751166,215.40500807382858,386.792453,-86.111111,487.360595,1000.0
dqn,10,925000,5,277.9199346,241.37969938397563,277.777778,23.028391,668.115942,1000.0
dqn,10,950000,5,76.02474,139.84114879876566,4.089219,-55.555556,311.320755,1000.0
dqn,10,975000,5,229.54664640000001,266.30505473947153,250.943396,-49.526814,688.104089,1000.0
dqn,10,1000000,5,40.154446199999995,75.25316605438093,41.263941,-42.028986,155.520505,1000.0
dqn,11,25000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,11,50000,5,8.3449862,46.37656705190123,-20.754717,-33.753943,89.591078,1000.0
dqn,11,75000,5,-37.4976408,15.138312727609275,-33.753943,-61.111111,-20.754717,1000.0
dqn,11,100000,5,0.6851518000000013,44.748988344658855,-16.981132,-42.028986,74.72119,1000.0
dqn,11,125000,5,-24.975013800000003,50.241695156985806,-57.454717,-70.453943,61.191078,334.2
dqn,11,150000,5,-24.3950138,50.3131143967007,-56.954717,-70.053943,61.791078,328.4
dqn,11,175000,5,-87.98516099999999,6.368307250566767,-92.45283,-93.690852,-77.695167,1000.0
dqn,11,200000,5,-29.5831272,10.313272217569308,-27.536232,-44.444444,-14.498141,1000.0
dqn,11,225000,5,-24.2150138,50.12834044792916,-56.654717,-69.753943,61.691078,326.6
dqn,11,250000,5,-23.9350138,50.06868410924628,-56.354717,-69.453943,61.891078,323.8
dqn,11,275000,5,-38.0556582,48.38968170214479,-69.454717,-83.153943,42.72119,418.6
dqn,11,300000,5,-29.0597934,23.457415457745487,-20.172464,-62.766667,0.946372,810.8
dqn,11,325000,5,-19.255013800000004,60.19377135916548,-58.454717,-70.553943,89.591078,476.8
dqn,11,350000,5,106.1270742,34.02924547658121,103.773585,64.037855,153.623188,1000.0
dqn,11,375000,5,22.163717399999996,143.66138259967713,-67.391304,-93.690852,275.464684,1000.0
dqn,11,400000,5,99.628097,77.13482687400315,127.129338,-9.433962,197.101449,1000.0
dqn,11,425000,5,-79.43821840000001,17.219427544936384,-92.45283,-93.64511,-51.672862,863.2
dqn,11,450000,5,-70.4937186,22.285012146389345,-77.777778,-92.753623,-36.802974,1000.0
dqn,11,475000,5,35.43764339999999,79.96254257030714,16.666667,-46.37224,171.73913,1000.0
dqn,11,500000,5,-24.4289592,65.36756680923459,-34.782609,-93.690852,71.003717,1000.0
dqn,11,525000,5,10.263133,34.89366904466335,0.0,-27.536232,74.72119,1000.0
dqn,11,550000,5,268.1995122,264.77422451972456,327.777778,-42.028986,610.037175,1000.0
dqn,11,575000,5,157.38960600000001,204.99503287379207,175.0,-55.835962,517.100372,1000.0
dqn,11,600000,5,545.0685769999999,189.70395478161169,643.396226,288.888889,780.434783,1000.0
dqn,11,625000,5,246.90809200000004,231.99648459154915,207.971014,-84.90566,580.297398,1000.0
dqn,11,650000,5,183.8411342,287.206276703951,30.555556,-88.679245,563.043478,1000.0
dqn,11,675000,5,187.2415356,246.92100134497323,213.888889,-92.753623,505.947955,1000.0
dqn,11,700000,5,196.18604019999998,340.3744858345656,-47.222222,-93.690852,693.478261,1000.0
dqn,11,725000,5,41.0643894,163.388441986874,-88.679245,-90.536278,290.334572,1000.0
dqn,11,750000,5,-70.3527952,8.578269947865792,-67.391304,-84.227129,-59.107807,1000.0
dqn,11,775000,5,107.9239352,122.95617520932143,186.231884,-52.777778,235.849057,1000.0
dqn,11,800000,5,380.59028159999997,156.94422145215444,386.111111,174.44795,557.992565,1000.0
dqn,11,825000,5,181.9783072,131.75651685495862,202.777778,-13.207547,367.391304,1000.0
dqn,11,850000,5,74.0160436,106.57988105838088,44.981413,-43.217666,218.84058,1000.0
dqn,11,875000,5,241.12455920000002,242.47498943002333,78.438662,25.0,564.150943,1000.0
dqn,11,900000,5,19.0176452,109.48378461124862,-27.777778,-92.565056,164.150943,1000.0
dqn,11,925000,5,298.3848588,197.9007621729575,300.630915,-19.444444,586.792453,1000.0
dqn,11,950000,5,193.588802,258.7896144157409,38.801262,-70.260223,555.797101,1000.0
