time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate
4,97,1000.0,40,0.00020086928270757198,4000,874,-53.408035,0.9924,0.0001
8,204,1000.0,39,0.00040982841164804995,8000,1874,-52.469197375,0.9848,0.0001
12,313,1000.0,38,0.00015397868992295116,12000,2874,-53.41225775,0.9772,0.0001
16,420,1000.0,38,6.392150680767372e-05,16000,3874,-52.7388708125,0.9696,0.0001
20,528,1000.0,37,9.194567246595398e-05,20000,4874,-52.8782818,0.962,0.0001
24,636,1000.0,37,0.00015433126827701926,24000,5874,-53.73625504166667,0.9543999999999999,0.0001
28,820,1000.0,34,4.1856150346575305e-05,28000,6874,-53.893148535714296,0.9468,0.0001
32,927,1000.0,34,0.08542806655168533,32000,7874,-54.123010406249996,0.9391999999999999,0.0001
36,1033,1000.0,34,2.4103981559164822e-05,36000,8874,-54.35444827777778,0.9316,0.0001
40,1139,1000.0,35,0.0001970368903130293,40000,9874,-54.115008075000006,0.9239999999999999,0.0001
44,1245,1000.0,35,9.093286280403845e-06,44000,10874,-53.855066954545464,0.9163999999999999,0.0001
48,1352,1000.0,35,0.00014220540469978005,48000,11874,-53.79443402083333,0.9087999999999999,0.0001
52,1529,1000.0,34,0.00013575184857472777,52000,12874,-53.76559869230768,0.9011999999999999,0.0001
56,1635,1000.0,34,0.09865149855613708,56000,13874,-53.37088955357142,0.8936,0.0001
60,1743,1000.0,34,0.00021627855312544852,60000,14874,-53.20523681666667,0.8859999999999999,0.0001
64,1851,1000.0,34,0.00010752766684163362,64000,15874,-53.279058234375,0.8783999999999998,0.0001
68,1957,1000.0,34,7.867475505918264e-05,68000,16874,-52.89789554411765,0.8707999999999999,0.0001
72,2064,1000.0,34,5.762329601566307e-05,72000,17874,-52.95199645833333,0.8632000000000001,0.0001
76,2243,1000.0,33,0.00011876944336108863,76000,18874,-52.906599421052626,0.8556000000000001,0.0001
80,2351,1000.0,34,0.00012351236364338547,80000,19874,-53.023355800000004,0.8480000000000001,0.0001
84,2459,1000.0,34,6.214858876774088e-05,84000,20874,-53.028659619047616,0.8404,0.0001
88,2565,1000.0,34,2.3351107302005403e-05,88000,21874,-52.888988556818184,0.8328000000000001,0.0001
92,2672,1000.0,34,0.0001401082699885592,92000,22874,-53.1778012826087,0.8252,0.0001
96,2779,1000.0,34,3.70543566532433e-05,96000,23874,-53.26556501041667,0.8176000000000001,0.0001
100,2959,1000.0,33,0.0802568793296814,100000,24874,-53.534940299999995,0.81,0.0001
104,3067,1000.0,33,0.287367045879364,104000,25874,-53.532281170000005,0.8024,0.0001
108,3177,1000.0,33,0.00018247909611091018,108000,26874,-53.45480192,0.7948000000000001,0.0001
112,3287,1000.0,34,0.00021566984651144594,112000,27874,-53.184613330000005,0.7872,0.0001
116,3398,1000.0,34,0.00035711866803467274,116000,28874,-53.288875600000004,0.7796000000000001,0.0001
120,3505,1000.0,34,0.00036095897667109966,120000,29874,-53.09029967000001,0.772,0.0001
124,3613,1000.0,34,9.396758832735941e-05,124000,30874,-52.80796909,0.7644,0.0001
128,3746,1000.0,34,0.00016014065477065742,128000,31874,-52.502315519999996,0.7568,0.0001
132,3854,1000.0,34,0.00019878739840351045,132000,32874,-52.04706637,0.7492,0.0001
136,3963,1000.0,34,0.00034661233075894415,136000,33874,-51.55416668,0.7416,0.0001
140,4074,1000.0,34,9.827380563365296e-05,140000,34874,-51.35430206000001,0.734,0.0001
144,4182,1000.0,34,0.0908065214753151,144000,35874,-51.2491194,0.7263999999999999,0.0001
148,4291,1000.0,34,9.900402801577002e-05,148000,36874,-51.17847066,0.7188,0.0001
152,4424,1000.0,34,0.08761562407016754,152000,37874,-50.625599670000014,0.7111999999999999,0.0001
156,4533,1000.0,34,0.00013953124289400876,156000,38874,-50.65427833999999,0.7036,0.0001
160,4643,1000.0,34,0.09025143831968307,160000,39874,-50.46353035,0.696,0.0001
164,4753,1000.0,34,0.0001102714886656031,164000,40874,-50.38251721,0.6883999999999999,0.0001
168,4863,1000.0,34,0.0001735908881528303,168000,41874,-50.36343403,0.6808,0.0001
172,4972,1000.0,34,0.00028595118783414364,172000,42874,-49.5725391,0.6732000000000001,0.0001
176,5157,1000.0,34,0.0001347059733234346,176000,43874,-48.95767033000001,0.6656000000000002,0.0001
180,5266,1000.0,34,0.0018555198330432177,180000,44874,-48.336900189999994,0.6580000000000001,0.0001
184,5376,1000.0,34,0.10749589651823044,184000,45874,-47.668956109999996,0.6504000000000001,0.0001
188,5486,1000.0,34,0.00019606952264439315,188000,46874,-46.92974475,0.6428000000000001,0.0001
192,5596,1000.0,34,0.09176704287528992,192000,47874,-45.7467998,0.6352000000000001,0.0001
196,5709,1000.0,34,0.0002487449673935771,196000,48874,-44.93335738,0.6276000000000002,0.0001
200,5895,1000.0,33,0.09046047180891037,200000,49874,-44.28904689,0.6200000000000001,0.0001
204,6007,1000.0,33,0.08770400285720825,204000,50874,-43.843347599999994,0.6124,0.0001
208,6118,1000.0,33,0.00019729581254068762,208000,51874,-42.84901489000001,0.6048000000000001,0.0001
212,6229,1000.0,34,0.0007744411705061793,212000,52874,-41.46038272,0.5972000000000001,0.0001
216,6346,1000.0,34,9.713502367958426e-05,216000,53874,-39.717105579999995,0.5896000000000001,0.0001
220,6482,1000.0,33,0.00021490146173164248,220000,54874,-37.71622969,0.5820000000000001,0.0001
