timesteps,eval_seed,episode_reward,episode_length
25000,200,-70.253943,366
25000,201,61.491078,282
25000,202,-60.513043,367
25000,203,3.555556,271
25000,204,-57.254717,366
50000,200,-93.690852,1000
50000,201,-85.130112,1000
50000,202,-92.753623,1000
50000,203,-83.333333,1000
50000,204,-92.45283,1000
75000,200,-101.963407,273
75000,201,61.591078,281
75000,202,-93.291304,260
75000,203,3.455556,272
75000,204,-97.111321,274
100000,200,-55.835962,1000
100000,201,-92.565056,1000
100000,202,-23.913043,1000
100000,203,-94.444444,1000
100000,204,-20.754717,1000
125000,200,-69.553943,359
125000,201,61.591078,281
125000,202,-59.713043,359
125000,203,3.455556,272
125000,204,-56.454717,358
150000,200,-93.690852,1000
150000,201,-92.565056,1000
150000,202,-92.753623,1000
150000,203,-94.444444,1000
150000,204,-92.45283,1000
175000,200,-87.381703,1000
175000,201,-92.565056,1000
175000,202,-85.507246,1000
175000,203,-94.444444,1000
175000,204,-84.90566,1000
200000,200,-93.690852,1000
200000,201,-85.130112,1000
200000,202,-92.753623,1000
200000,203,-94.444444,1000
200000,204,-92.45283,1000
225000,200,-55.835962,1000
225000,201,-92.565056,1000
225000,202,-49.275362,1000
225000,203,-94.444444,1000
225000,204,-47.169811,1000
250000,200,-93.690852,1000
250000,201,-92.565056,1000
250000,202,-92.753623,1000
250000,203,-94.444444,1000
250000,204,-92.45283,1000
275000,200,-2.208202,1000
275000,201,249.442379,1000
275000,202,52.173913,1000
275000,203,44.444444,1000
275000,204,111.320755,1000
300000,200,41.955836,1000
300000,201,215.98513,1000
300000,202,-9.42029,1000
300000,203,41.666667,1000
300000,204,16.981132,1000
325000,200,-87.381703,1000
325000,201,-92.565056,1000
325000,202,-81.884058,1000
325000,203,-94.444444,1000
325000,204,-81.132075,1000
350000,200,-63.508517,267
350000,201,108.178439,1000
350000,202,-53.236232,258
350000,203,-25.866667,343
350000,204,-50.928302,265
375000,200,-43.217666,1000
375000,201,18.959108,1000
375000,202,-56.521739,1000
375000,203,-27.777778,1000
375000,204,-32.075472,1000
400000,200,-46.37224,1000
400000,201,-10.780669,1000
400000,202,-20.289855,1000
400000,203,-22.222222,1000
400000,204,-35.849057,1000
425000,200,-71.608833,1000
425000,201,-77.695167,1000
425000,202,-56.521739,1000
425000,203,-83.333333,1000
425000,204,-50.943396,1000
450000,200,-87.381703,1000
450000,201,-85.130112,1000
450000,202,-85.507246,1000
450000,203,-88.888889,1000
450000,204,-84.90566,1000
475000,200,-90.536278,1000
475000,201,-66.542751,1000
475000,202,-49.275362,1000
475000,203,-36.111111,1000
475000,204,-43.396226,1000
500000,200,117.665615,1000
500000,201,34.403717,367
500000,202,84.782609,1000
500000,203,138.888889,1000
500000,204,216.981132,1000
525000,200,92.429022,1000
525000,201,119.330855,1000
525000,202,178.985507,1000
525000,203,19.444444,1000
525000,204,35.849057,1000
550000,200,-27.444795,1000
550000,201,85.873606,1000
550000,202,-23.913043,1000
550000,203,-61.111111,1000
550000,204,341.509434,1000
575000,200,-30.599369,1000
575000,201,201.115242,1000
575000,202,-92.753623,1000
575000,203,55.555556,1000
575000,204,341.509434,1000
600000,200,-33.753943,1000
600000,201,13.756134,685
600000,202,-16.666667,1000
600000,203,-35.244444,659
600000,204,-16.981132,1000
625000,200,-81.072555,1000
625000,201,74.72119,1000
625000,202,-34.782609,1000
625000,203,13.888889,1000
625000,204,-77.358491,1000
650000,200,502.523659,1000
650000,201,375.836431,1000
650000,202,211.594203,1000
650000,203,11.111111,1000
650000,204,549.056604,1000
675000,200,-93.690852,1000
675000,201,866.542751,1000
675000,202,852.898551,1000
675000,203,33.333333,1000
675000,204,466.037736,1000
700000,200,284.858044,1000
700000,201,111.895911,1000
700000,202,794.927536,1000
700000,203,61.111111,1000
700000,204,420.754717,1000
725000,200,448.895899,1000
725000,201,431.952788,964
725000,202,-20.289855,1000
725000,203,394.444444,1000
725000,204,-92.45283,1000
750000,200,411.041009,1000
750000,201,524.535316,1000
750000,202,849.275362,1000
750000,203,427.777778,1000
750000,204,684.90566,1000
775000,200,-30.599369,1000
775000,201,836.802974,1000
775000,202,755.072464,1000
775000,203,438.888889,1000
775000,204,-20.754717,1000
800000,200,392.113565,1000
800000,201,847.95539,1000
800000,202,889.130435,1000
800000,203,558.333333,1000
800000,204,832.075472,1000
825000,200,303.122713,954
825000,201,483.643123,1000
825000,202,908.8,912
825000,203,170.466667,963
825000,204,268.850943,954
850000,200,407.886435,1000
850000,201,520.817844,1000
850000,202,904.1,959
850000,203,266.666667,1000
850000,204,375.471698,1000
875000,200,-68.454259,1000
875000,201,-81.412639,1000
875000,202,-63.768116,1000
875000,203,486.111111,1000
875000,204,-62.264151,1000
900000,200,320.295584,940
900000,201,728.996283,1000
900000,202,900.3,997
900000,203,174.888889,891
900000,204,-88.679245,1000
925000,200,312.641009,985
925000,201,814.498141,1000
925000,202,-89.130435,1000
925000,203,152.144444,924
925000,204,299.518868,836
950000,200,448.895899,1000
950000,201,22.67658,1000
950000,202,905.0,950
950000,203,-33.333333,1000
950000,204,767.924528,1000
975000,200,-93.690852,1000
975000,201,900.5,995
975000,202,-92.753623,1000
975000,203,452.777778,1000
975000,204,-81.132075,1000
1000000,200,-62.14511,1000
1000000,201,-55.390335,1000
1000000,202,-63.768116,1000
1000000,203,-50.0,1000
1000000,204,-54.716981,1000
