train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,train/loss,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate
874,1000.0,4,36,110,6.548717647092417e-05,4000,0.9924,-54.86441425,0.0001
1874,1000.0,8,35,227,5.41108674951829e-05,8000,0.9848,-56.072239374999995,0.0001
2874,1000.0,12,35,339,3.696603744174354e-05,12000,0.9772,-56.67043766666666,0.0001
3874,1000.0,16,35,450,0.0002421427343506366,16000,0.9696,-55.2621048125,0.0001
4874,1000.0,20,35,562,0.08375830948352814,20000,0.962,-55.1995391,0.0001
5874,1000.0,24,35,676,7.022812496870756e-05,24000,0.9543999999999999,-56.01641983333334,0.0001
6874,1000.0,28,32,869,0.00018315941269975156,28000,0.9468,-55.712738571428574,0.0001
7874,1000.0,32,32,980,0.00011362168879713863,32000,0.9391999999999999,-55.8028724375,0.0001
8874,1000.0,36,32,1093,0.08062929660081863,36000,0.9316,-55.47080361111111,0.0001
9874,1000.0,40,33,1206,0.10751815140247345,40000,0.9239999999999999,-55.63538195000001,0.0001
10874,1000.0,44,33,1319,6.876552652101964e-05,44000,0.9163999999999999,-55.51862840909093,0.0001
11874,1000.0,48,33,1431,0.2661689519882202,48000,0.9087999999999999,-55.136655041666664,0.0001
12874,1000.0,52,32,1621,0.19379113614559174,52000,0.9011999999999999,-54.363466576923074,0.0001
13874,1000.0,56,32,1738,0.09691960364580154,56000,0.8936,-54.53717655357143,0.0001
14874,1000.0,60,32,1853,5.937726382398978e-05,60000,0.8859999999999999,-54.18277865,0.0001
15874,1000.0,64,32,1969,5.706826050300151e-05,64000,0.8783999999999998,-53.976418078125,0.0001
16874,1000.0,68,32,2085,0.08458448946475983,68000,0.8707999999999999,-53.95418777941177,0.0001
17874,1000.0,72,32,2198,0.00030569767113775015,72000,0.8632000000000001,-54.14321931944445,0.0001
18874,1000.0,76,31,2389,9.587707609171048e-05,76000,0.8556000000000001,-54.329380868421055,0.0001
19874,1000.0,80,31,2503,0.00012619256449397653,80000,0.8480000000000001,-54.298188725,0.0001
20874,1000.0,84,32,2615,1.7247604773729108e-05,84000,0.8404,-54.3045013095238,0.0001
21874,1000.0,88,32,2726,8.114571392070502e-05,88000,0.8328000000000001,-53.93623455681818,0.0001
22874,1000.0,92,32,2842,0.10717375576496124,92000,0.8252,-53.75810699999999,0.0001
23874,1000.0,96,32,2958,0.17690837383270264,96000,0.8176000000000001,-53.531582364583336,0.0001
24874,1000.0,100,31,3159,0.0002978708071168512,100000,0.81,-53.2132091,0.0001
25874,1000.0,104,31,3276,0.08480831980705261,104000,0.8024,-52.979140980000004,0.0001
26874,1000.0,108,31,3391,0.11546691507101059,108000,0.7948000000000001,-52.636344660000006,0.0001
27874,1000.0,112,31,3508,0.00028591748559847474,112000,0.7872,-52.57091910000001,0.0001
28874,1000.0,116,31,3625,0.08378316462039948,116000,0.7796000000000001,-52.481757099999996,0.0001
29874,1000.0,120,32,3742,0.0005688191158697009,120000,0.772,-52.33874230000001,0.0001
30874,1000.0,124,32,3859,0.0001586767757544294,124000,0.7644,-51.80601070000001,0.0001
31874,1000.0,128,31,4053,2.1180492694838904e-05,128000,0.7568,-51.61404055999999,0.0001
32874,1000.0,132,31,4169,9.622682409826666e-05,132000,0.7492,-51.585056189999996,0.0001
33874,1000.0,136,31,4286,4.224350050208159e-05,136000,0.7416,-51.334075819999995,0.0001
34874,1000.0,140,31,4403,0.00024358651717193425,140000,0.734,-50.88036063999999,0.0001
35874,1000.0,144,31,4519,0.0005460866959765553,144000,0.7263999999999999,-50.22090304999999,0.0001
36874,1000.0,148,31,4636,3.191392170265317e-05,148000,0.7188,-50.08884583000001,0.0001
37874,1000.0,152,31,4831,0.00016029794642236084,152000,0.7111999999999999,-50.17997543000001,0.0001
38874,1000.0,156,31,4947,9.864364983513951e-05,156000,0.7036,-49.99662957,0.0001
39874,1000.0,160,31,5064,0.09567148238420486,160000,0.696,-50.18632054,0.0001
40874,1000.0,164,31,5181,0.08134735375642776,164000,0.6883999999999999,-50.05515993,0.0001
41874,1000.0,168,31,5300,0.00018522999016568065,168000,0.6808,-49.70481890999999,0.0001
42874,1000.0,172,31,5418,0.00011748811812140048,172000,0.6732000000000001,-49.34378971,0.0001
43874,1000.0,176,31,5611,0.00035677856067195535,176000,0.6656000000000002,-48.67614493,0.0001
44874,1000.0,180,31,5728,0.0002037904632743448,180000,0.6580000000000001,-48.47454768000001,0.0001
45874,1000.0,184,31,5845,0.20159335434436798,184000,0.6504000000000001,-47.76870910000002,0.0001
46874,1000.0,188,31,5961,0.0005825570551678538,188000,0.6428000000000001,-47.26214741999999,0.0001
47874,1000.0,192,31,6079,0.0001925054530147463,192000,0.6352000000000001,-47.218342439999994,0.0001
48874,1000.0,196,31,6197,7.816731522325426e-05,196000,0.6276000000000002,-46.941691389999995,0.0001
49874,1000.0,200,31,6394,0.00043397987610660493,200000,0.6200000000000001,-46.91642339,0.0001
50874,1000.0,204,31,6513,0.08373744785785675,204000,0.6124,-46.149684900000004,0.0001
51874,1000.0,208,31,6633,0.00023521966068074107,208000,0.6048000000000001,-46.01783708,0.0001
52874,1000.0,212,31,6750,0.00023367012909147888,212000,0.5972000000000001,-44.64620482000002,0.0001
53874,1000.0,216,31,6867,0.0009773606434464455,216000,0.5896000000000001,-43.6229384,0.0001
54874,1000.0,220,31,6987,0.0002480645780451596,220000,0.5820000000000001,-42.98830243000001,0.0001
55874,1000.0,224,31,7106,0.09324638545513153,224000,0.5744,-42.20939652,0.0001
56874,1000.0,228,31,7301,0.0007931024883873761,228000,0.5668000000000001,-42.12702917000001,0.0001
57874,1000.0,232,31,7420,0.09328246116638184,232000,0.5592,-41.621339150000004,0.0001
58874,1000.0,236,31,7539,0.0003435715625528246,236000,0.5516000000000001,-40.73787647,0.0001
59874,1000.0,240,31,7659,0.08558189123868942,240000,0.544,-39.67525834,0.0001
60874,1000.0,244,31,7780,0.0004992104368284345,244000,0.5364,-39.23390954,0.0001
61874,1000.0,248,31,7901,0.18432867527008057,248000,0.5288,-38.519726320000004,0.0001
62874,1000.0,252,31,8100,0.0014306106604635715,252000,0.5212,-37.764180350000004,0.0001
63874,1000.0,256,31,8221,0.0007698989356867969,256000,0.5136000000000001,-36.77844359000001,0.0001
64874,1000.0,260,31,8342,0.0003288599255029112,260000,0.506,-35.975893840000005,0.0001
65874,1000.0,264,31,8465,0.08006616681814194,264000,0.49839999999999995,-35.44430316,0.0001
66874,1000.0,268,31,8587,0.0004961779341101646,268000,0.4908,-35.29746758,0.0001
67874,1000.0,272,31,8709,0.09068600088357925,272000,0.48319999999999996,-34.095335250000005,0.0001
68874,1000.0,276,30,8908,0.0010584831470623612,276000,0.4756,-32.839683019999995,0.0001
69874,1000.0,280,31,9030,0.0012717588106170297,280000,0.46799999999999997,-31.479852989999998,0.0001
70874,1000.0,284,31,9152,0.09624428302049637,284000,0.4603999999999999,-31.348724389999997,0.0001
71874,1000.0,288,31,9277,0.0004526813863776624,288000,0.4528,-31.26798635,0.0001
72874,1000.0,292,31,9399,0.09529867023229599,292000,0.44519999999999993,-30.84784571,0.0001
73874,1000.0,296,31,9523,0.10170541703701019,296000,0.4376,-30.391567319999993,0.0001
74874,1000.0,300,31,9673,0.10227047652006149,300000,0.42999999999999994,-29.719008,0.0001
75874,1000.0,304,31,9794,0.09519107639789581,304000,0.4223999999999999,-29.441933349999996,0.0001
76874,1000.0,308,31,9918,0.0006598266772925854,308000,0.41479999999999995,-28.35157364,0.0001
77874,1000.0,312,31,10043,0.0006986915832385421,312000,0.4071999999999999,-28.65901675,0.0001
78874,1000.0,316,31,10169,0.08636610209941864,316000,0.39959999999999996,-29.35984124,0.0001
79874,1000.0,320,31,10293,0.0006697367061860859,320000,0.3919999999999999,-29.9503617,0.0001
80874,1000.0,324,31,10417,0.0004522856033872813,324000,0.38439999999999985,-29.743636730000002,0.0001
81874,1000.0,328,30,10616,0.16878628730773926,328000,0.3767999999999999,-27.86269452,0.0001
82874,1000.0,332,30,10738,0.001030351617373526,332000,0.36919999999999986,-26.75914436,0.0001
83874,1000.0,336,30,10861,0.09630010277032852,336000,0.3615999999999999,-25.569262,0.0001
84874,1000.0,340,30,10986,0.1021234393119812,340000,0.35399999999999987,-25.875343670000003,0.0001
85874,1000.0,344,30,11113,0.0038143284618854523,344000,0.34640000000000004,-25.5450801,0.0001
86874,1000.0,348,30,11238,0.18290698528289795,348000,0.3388000000000001,-25.185716040000003,0.0001
