timesteps,eval_seed,episode_reward,episode_length
10000,100,92.592593,1000
10000,101,154.125413,1000
10000,102,72.043011,1000
10000,103,43.884892,1000
10000,104,24.161074,1000
20000,100,48.148148,1000
20000,101,312.541254,1000
20000,102,75.62724,1000
20000,103,187.769784,1000
20000,104,37.583893,1000
30000,100,37.037037,1000
30000,101,127.722772,1000
30000,102,45.82724,299
30000,103,248.920863,1000
30000,104,17.449664,1000
40000,100,-55.555556,1000
40000,101,-14.191419,1000
40000,102,-46.236559,1000
40000,103,-17.266187,1000
40000,104,-59.731544,1000
50000,100,-77.777778,1000
50000,101,-83.49835,1000
50000,102,-82.078853,1000
50000,103,-78.417266,1000
50000,104,-83.221477,1000
60000,100,25.925926,1000
60000,101,-24.092409,1000
60000,102,43.369176,1000
60000,103,-17.266187,1000
60000,104,0.671141,1000
70000,100,25.925926,1000
70000,101,-30.693069,1000
70000,102,64.874552,1000
70000,103,-24.460432,1000
70000,104,17.449664,1000
80000,100,18.518519,1000
80000,101,-17.491749,1000
80000,102,86.379928,1000
80000,103,-39.97482,336
80000,104,4.026846,1000
90000,100,7.407407,1000
90000,101,98.019802,1000
90000,102,107.885305,1000
90000,103,-39.869065,263
90000,104,67.785235,1000
100000,100,-13.385185,283
100000,101,-53.291419,392
100000,102,32.990323,284
100000,103,-38.848921,1000
100000,104,-19.71745,272
