time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean
26,4,4000,1000.0,0.6199999999999997,874,0.0001,0.00016706855967640877,148,-57.35082325
24,8,8000,1000.0,0.24000000000000044,1874,0.0001,0.0002861602697521448,331,-38.3035215
18,12,11762,980.1666666666666,0.05,2815,0.0001,0.00035139801912009716,632,-26.91162316666667
19,16,15762,985.125,0.05,3815,0.0001,0.1003703773021698,819,23.0750675
19,20,19762,988.1,0.05,4815,0.0001,0.09130265563726425,1006,60.57681225
17,24,23762,990.0833333333334,0.05,5815,0.0001,0.44211313128471375,1321,99.02059604166668
18,28,27762,991.5,0.05,6815,0.0001,0.36559242010116577,1513,109.95816267857143
17,32,31762,992.5625,0.05,7815,0.0001,0.2654942274093628,1810,105.0884313125
17,36,35762,993.3888888888889,0.05,8815,0.0001,0.16457712650299072,2001,105.56476088888888
18,40,39762,994.05,0.05,9815,0.0001,0.10403457283973694,2192,96.04958815
17,44,43762,994.5909090909091,0.05,10815,0.0001,0.07375548779964447,2509,89.20304897727273
17,48,47762,995.0416666666666,0.05,11815,0.0001,0.0022015590220689774,2700,82.20971293749999
17,52,51762,995.4230769230769,0.05,12815,0.0001,0.09583181142807007,3027,76.29566840384614
17,56,55762,995.75,0.05,13815,0.0001,0.00939685758203268,3222,76.80492608928571
17,60,59762,996.0333333333333,0.05,14815,0.0001,0.09622184932231903,3414,74.50703408333334
17,64,63762,996.28125,0.05,15815,0.0001,0.0005545818712562323,3731,70.00688378125
17,68,67762,996.5,0.05,16815,0.0001,0.06748994439840317,3924,65.75743354411763
16,72,71762,996.6944444444445,0.05,17815,0.0001,0.10925115644931793,4241,64.99755106944446
17,76,75762,996.8684210526316,0.05,18815,0.0001,0.002345682354643941,4432,60.179132671052635
17,80,79762,997.025,0.05,19815,0.0001,0.02122989483177662,4622,66.8321033125
16,84,82377,980.6785714285714,0.05,20469,0.0001,0.3641403615474701,4855,62.907164202380955
17,88,86377,981.5568181818181,0.05,21469,0.0001,0.2749914824962616,5049,61.872814284090914
16,92,90377,982.3586956521739,0.05,22469,0.0001,0.1230093240737915,5348,63.692992978260875
17,96,94281,982.09375,0.05,23445,0.0001,0.31741130352020264,5533,69.67955494791666
17,100,98281,982.81,0.05,24445,0.0001,0.08760085701942444,5723,67.26660611999999
