train/learning_rate,rollout/ep_len_mean,train/n_updates,time/episodes,train/loss,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed
0.0001,1000.0,874,4,0.0001339878945145756,0.8733333333333332,23,4000,-60.681163250000004,173
0.0001,1000.0,1874,8,0.28922441601753235,0.7466666666666668,21,8000,-56.630594,368
0.0001,1000.0,2874,12,0.09421434253454208,0.62,17,12000,-52.542201500000004,679
0.0001,1000.0,3874,16,4.0138889744412154e-05,0.4933333333333332,18,16000,-49.731756375,868
0.0001,1000.0,4874,20,0.0003359661786817014,0.3666666666666668,16,20000,-47.42276075,1188
0.0001,1000.0,5874,24,0.00016718072583898902,0.24,17,24000,-41.52856775,1374
0.0001,983.6785714285714,6760,28,0.001718337764032185,0.12780499999999972,17,27543,-43.978071892857145,1540
0.0001,983.5625,7743,32,0.0017721978947520256,0.05,16,31474,-46.11006503125,1909
0.0001,979.5,8690,36,0.007141668349504471,0.05,16,35262,-41.84698130555556,2099
0.0001,973.925,9614,40,0.0018300825031474233,0.05,17,38957,-39.910298850000004,2288
0.0001,976.2954545454545,10614,44,0.07481364905834198,0.05,16,42957,-37.46239718181818,2626
0.0001,978.2708333333334,11614,48,0.0969773530960083,0.05,16,46957,-25.553811187500003,2819
0.0001,979.9423076923077,12614,52,0.22978894412517548,0.05,16,50957,-16.75837476923077,3140
0.0001,981.375,13614,56,0.16490833461284637,0.05,16,54957,-7.665692428571428,3336
0.0001,982.6166666666667,14614,60,0.08526375889778137,0.05,16,58957,-2.7018948500000004,3536
0.0001,983.703125,15614,64,0.27396655082702637,0.05,16,62957,6.530633796874999,3861
0.0001,984.6617647058823,16614,68,0.19215430319309235,0.05,16,66957,8.149376838235293,4062
0.0001,985.5138888888889,17614,72,0.0047803884372115135,0.05,16,70957,13.810386444444442,4385
0.0001,986.2763157894736,18614,76,0.19591495394706726,0.05,16,74957,21.027690355263157,4580
0.0001,986.9625,19614,80,0.09833154082298279,0.05,16,78957,31.981923000000002,4777
0.0001,987.5833333333334,20614,84,0.3018058240413666,0.05,16,82957,39.1502415952381,5101
0.0001,988.1477272727273,21614,88,0.004424146842211485,0.05,16,86957,38.41900301136363,5299
0.0001,988.6630434782609,22614,92,0.09366735070943832,0.05,16,90957,35.39314161956521,5596
0.0001,986.7708333333334,23557,96,0.07789935916662216,0.05,16,94730,39.862862802083335,5786
0.0001,987.3,24557,100,0.0025547693949192762,0.05,16,98730,37.65741617,5980
