train/learning_rate,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/total_timesteps,train/n_updates,time/fps,time/time_elapsed,time/episodes
0.0001,1000.0,0.9239999999999999,-59.9071695,0.08773487061262131,4000,874,18,211,4
0.0001,1000.0,0.8480000000000001,-58.841199,8.231992978835478e-06,8000,1874,16,477,8
0.0001,1000.0,0.772,-57.315755333333335,9.816950478125364e-05,12000,2874,12,932,12
0.0001,1000.0,0.696,-52.783725562499995,0.09372744709253311,16000,3874,13,1175,16
0.0001,1000.0,0.6200000000000001,-52.561276199999995,0.004827294498682022,20000,4874,12,1645,20
0.0001,1000.0,0.544,-50.325200875,0.10519526153802872,24000,5874,12,1887,24
0.0001,1000.0,0.46799999999999997,-50.59155217857142,3.2302981708198786e-05,28000,6874,12,2174,28
0.0001,1000.0,0.3919999999999999,-49.18308559375,0.0002307965187355876,32000,7874,11,2722,32
0.0001,1000.0,0.31600000000000006,-46.59531177777778,0.0003048981016036123,36000,8874,12,2971,36
0.0001,1000.0,0.24,-42.607272925,0.0012192893773317337,40000,9874,11,3440,40
0.0001,1000.0,0.16400000000000015,-39.367234659090904,0.002032047137618065,44000,10874,11,3674,44
0.0001,1000.0,0.08800000000000008,-31.96175525,0.0923129990696907,48000,11874,12,3986,48
0.0001,989.0576923076923,0.05,-28.790828153846157,0.0025817328132689,51431,12732,12,4215,52
0.0001,982.4285714285714,0.05,-26.955796910714287,0.2478531301021576,55016,13628,12,4447,56
0.0001,982.1833333333333,0.05,-24.0901643,0.08599083870649338,58931,14607,12,4690,60
0.0001,976.140625,0.05,-17.058045515625,0.16753602027893066,62473,15493,12,4956,64
0.0001,977.5441176470588,0.05,-16.898033397058825,0.005921398289501667,66473,16493,12,5172,68
0.0001,978.7916666666666,0.05,-15.051986347222218,0.18448691070079803,70473,17493,12,5442,72
0.0001,977.4078947368421,0.05,-14.994527039473681,0.09737080335617065,74283,18445,13,5629,76
0.0001,978.5375,0.05,-14.469207837499999,0.27721133828163147,78283,19445,13,5829,80
0.0001,972.6428571428571,0.05,-13.705859273809525,0.10236764699220657,81702,20300,13,6136,84
0.0001,973.8863636363636,0.05,-13.80705703409091,0.09038777649402618,85702,21300,13,6335,88
0.0001,975.0217391304348,0.05,-13.91079735869565,0.0009058677824214101,89702,22300,13,6541,92
0.0001,976.0625,0.05,-14.284316697916665,0.0009914787951856852,93702,23300,13,6929,96
0.0001,977.02,0.05,-14.706384349999999,0.007013487629592419,97702,24300,13,7127,100
