timesteps,eval_seed,episode_reward,episode_length
10000,100,-81.481481,1000
10000,101,-80.19802,1000
10000,102,-85.663082,1000
10000,103,-78.417266,1000
10000,104,-83.221477,1000
20000,100,33.333333,1000
20000,101,-30.693069,1000
20000,102,75.62724,1000
20000,103,-24.460432,1000
20000,104,20.805369,1000
30000,100,33.333333,1000
30000,101,-27.392739,1000
30000,102,75.62724,1000
30000,103,-20.863309,1000
30000,104,20.805369,1000
40000,100,33.333333,1000
40000,101,-30.693069,1000
40000,102,47.12724,286
40000,103,-24.460432,1000
40000,104,20.805369,1000
50000,100,4.333333,291
50000,101,-65.192739,379
50000,102,75.62724,1000
50000,103,-17.266187,1000
50000,104,-6.594631,275
60000,100,-25.925926,1000
60000,101,-83.49835,1000
60000,102,-53.405018,1000
60000,103,-38.848921,1000
60000,104,-66.442953,1000
70000,100,70.37037,1000
70000,101,243.234323,1000
70000,102,11.111111,1000
70000,103,425.179856,1000
70000,104,-19.463087,1000
80000,100,-66.666667,1000
80000,101,-73.59736,1000
80000,102,-64.157706,1000
80000,103,-67.625899,1000
80000,104,-63.087248,1000
90000,100,-62.962963,1000
90000,101,-60.39604,1000
90000,102,197.491039,1000
90000,103,-24.460432,1000
90000,104,-89.932886,1000
100000,100,-92.592593,1000
100000,101,-93.39934,1000
100000,102,-92.831541,1000
100000,103,-92.805755,1000
100000,104,-79.865772,1000
