time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/loss,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
4,155,1000.0,25,0.6199999999999997,0.00015008464106358588,874,4000,0.0001,-59.99649225
8,446,1000.0,17,0.24000000000000044,0.0966426432132721,1874,8000,0.0001,-62.26203
12,1078,985.0833333333334,10,0.05,0.0002942962455563247,2830,11821,0.0001,-57.80737416666667
16,1423,970.0625,10,0.05,0.07623016834259033,3755,15521,0.0001,-41.37536575
20,1686,914.75,10,0.05,0.0013840922620147467,4448,18295,0.0001,-34.2339997
24,2293,909.25,9,0.05,0.15287214517593384,5330,21822,0.0001,-34.14738883333334
28,2679,922.2142857142857,9,0.05,0.08407696336507797,6330,25822,0.0001,-28.59610378571429
32,3061,931.9375,9,0.05,0.08139684051275253,7330,29822,0.0001,-22.7250286875
36,3721,939.5,9,0.05,0.002143650082871318,8330,33822,0.0001,-24.068574861111113
40,4114,945.55,9,0.05,0.09435509145259857,9330,37822,0.0001,-23.826009825
44,4713,950.5,8,0.05,0.08207622915506363,10330,41822,0.0001,-19.91677865909091
48,5100,954.625,8,0.05,0.0012473977403715253,11330,45822,0.0001,-21.558624937500003
52,5486,958.1153846153846,9,0.05,0.09177631884813309,12330,49822,0.0001,-21.84757048076924
56,6025,961.1071428571429,8,0.05,0.001637191977351904,13330,53822,0.0001,-21.71716417857143
60,6410,963.7,9,0.05,0.08998057246208191,14330,57822,0.0001,-22.845816016666667
64,7054,963.90625,8,0.05,0.0028368523344397545,15297,61690,0.0001,-22.4696065625
68,7374,966.0294117647059,8,0.05,0.0036462063435465097,16297,65690,0.0001,-21.87556185294118
72,7598,967.9166666666666,9,0.05,0.17429515719413757,17297,69690,0.0001,-12.69129713888889
76,8058,969.6052631578947,9,0.05,0.021230095997452736,18297,73690,0.0001,-9.614219342105264
80,8264,971.125,9,0.05,0.006424148567020893,19297,77690,0.0001,-12.63120595
84,8597,972.5,9,0.05,0.0029520648531615734,20297,81690,0.0001,-15.023135916666666
88,8795,973.75,9,0.05,0.0004849086399190128,21297,85690,0.0001,-17.05759190909091
92,9000,974.8913043478261,9,0.05,0.08986801654100418,22297,89690,0.0001,-17.61976045652174
96,9339,975.9375,10,0.05,0.004970301408320665,23297,93690,0.0001,-16.44830434375
100,9542,976.9,10,0.05,0.0036698782350867987,24297,97690,0.0001,-15.493193329999999
