train/n_updates,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/learning_rate,train/loss,rollout/exploration_rate,time/total_timesteps,time/fps
874,-58.55162575,125,1000.0,4,0.0001,5.125202005729079e-05,0.8733333333333332,4000,31
1874,-56.224047,245,1000.0,8,0.0001,2.9873843232053332e-05,0.7466666666666668,8000,32
2874,-51.208205916666664,384,1000.0,12,0.0001,0.08379682898521423,0.62,12000,31
3874,-45.656898687500004,498,1000.0,16,0.0001,0.0003429990028962493,0.4933333333333332,16000,32
4839,-49.12661375000001,609,992.95,20,0.0001,0.048008691519498825,0.3711316666666665,19859,32
5839,-49.88242720833333,802,994.125,24,0.0001,0.00020334945293143392,0.24446500000000015,23859,29
6839,-40.94516957142857,920,994.9642857142857,28,0.0001,0.17242494225502014,0.11779833333333345,27859,30
7691,-40.49123900000001,1047,977.09375,32,0.0001,3.25477933883667,0.05,31267,29
8584,-39.51426583333334,1155,967.7777777777778,36,0.0001,0.08211444318294525,0.05,34840,30
9584,-38.450781500000005,1275,971.0,40,0.0001,0.17677855491638184,0.05,38840,30
10405,-33.36669175,1449,957.3409090909091,44,0.0001,0.09101417660713196,0.05,42123,29
11405,-27.8320963125,1565,960.8958333333334,48,0.0001,0.0014937246451154351,0.05,46123,29
12405,-18.855977596153846,1760,963.9038461538462,52,0.0001,0.028252476826310158,0.05,50123,28
13352,-19.126580642857142,1872,962.6964285714286,56,0.0001,0.23750972747802734,0.05,53911,28
14352,-18.426977816666668,1991,965.1833333333333,60,0.0001,0.08204331994056702,0.05,57911,29
15352,-19.208028859375,2186,967.359375,64,0.0001,0.1746029257774353,0.05,61911,28
16346,-20.803699088235295,2311,968.9117647058823,68,0.0001,0.001290558953769505,0.05,65886,28
17291,-21.660900583333333,2426,967.5833333333334,72,0.0001,0.007401423528790474,0.05,69666,28
18291,-22.819204381578945,2616,969.2894736842105,76,0.0001,0.005102519411593676,0.05,73666,28
19291,-21.6738186375,2739,970.825,80,0.0001,0.07707797735929489,0.05,77666,28
20291,-20.64920514285714,2905,972.2142857142857,84,0.0001,0.005236816592514515,0.05,81666,28
21291,-20.936486784090906,3025,973.4772727272727,88,0.0001,0.003114206250756979,0.05,85666,28
22291,-21.32009681521739,3148,974.6304347826087,92,0.0001,0.00464404933154583,0.05,89666,28
23291,-21.084839489583334,3342,975.6875,96,0.0001,0.22282537817955017,0.05,93666,28
24291,-22.21452546,3461,976.66,100,0.0001,0.005801396910101175,0.05,97666,28
