rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/learning_rate,rollout/ep_len_mean,train/n_updates
0.9239999999999999,4000,4,99,-59.36861925,40,0.00028560389182530344,0.0001,1000.0,874
0.8480000000000001,8000,8,208,-55.456877125,38,0.19273769855499268,0.0001,1000.0,1874
0.772,12000,12,396,-55.48036325,30,1.6492927898070775e-05,0.0001,1000.0,2874
0.696,16000,16,505,-50.378801374999995,31,0.17831358313560486,0.0001,1000.0,3874
0.6200000000000001,20000,20,640,-52.0370768,31,0.0001336276764050126,0.0001,1000.0,4874
0.544,24000,24,753,-52.625405875000006,31,4.018139952677302e-05,0.0001,1000.0,5874
0.46799999999999997,28000,28,867,-47.05490867857143,32,0.10270117223262787,0.0001,1000.0,6874
0.3919999999999999,32000,32,1060,-47.02136221875,30,0.00038289709482342005,0.0001,1000.0,7874
0.31600000000000006,36000,36,1179,-44.364065444444435,30,0.15338134765625,0.0001,1000.0,8874
0.24,40000,40,1372,-41.829949825,29,0.08850723505020142,0.0001,1000.0,9874
0.16635599999999995,43876,44,1483,-39.837075,29,0.0016159034566953778,0.0001,997.1818181818181,10843
0.09293999999999991,47740,48,1596,-38.32025266666667,29,0.0023526272270828485,0.0001,994.5833333333334,11809
0.05,51302,52,1726,-35.136626211538456,29,0.002673206152394414,0.0001,986.5769230769231,12700
0.05,55302,56,1844,-32.525941857142854,29,0.002364799613133073,0.0001,987.5357142857143,13700
0.05,59302,60,1960,-31.669800849999998,30,0.0032734659034758806,0.0001,988.3666666666667,14700
0.05,63302,64,2128,-28.49877421875,29,0.16928140819072723,0.0001,989.09375,15700
0.05,67302,68,2245,-29.23704798529412,29,0.0035874228924512863,0.0001,989.7352941176471,16700
0.05,71302,72,2406,-27.636974513888887,29,0.001609953586012125,0.0001,990.3055555555555,17700
0.05,75302,76,2528,-27.139643026315788,29,0.09769424796104431,0.0001,990.8157894736842,18700
0.05,79302,80,2648,-24.83339955,29,0.08591113984584808,0.0001,991.275,19700
0.05,83302,84,2843,-23.22328619047619,29,0.0005924940342083573,0.0001,991.6904761904761,20700
0.05,87302,88,2962,-23.512969681818177,29,0.09970980882644653,0.0001,992.0681818181819,21700
0.05,90877,92,3143,-23.340965271739126,28,0.1538488268852234,0.0001,987.7934782608696,22594
0.05,94187,96,3242,-22.721109479166667,29,0.005270878318697214,0.0001,981.1145833333334,23421
0.05,98187,100,3364,-21.526030289999998,29,0.08537276089191437,0.0001,981.87,24421
