rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,time/time_elapsed,rollout/exploration_rate,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate
1000.0,-61.984381,23,0.08978969603776932,167,0.6199999999999997,874,4000,4,0.0001
1000.0,-63.286641374999995,18,0.0004307622439227998,439,0.24000000000000044,1874,8000,8,0.0001
1000.0,-50.84817841666666,15,0.09951458871364594,797,0.05,2874,12000,12,0.0001
987.6875,-46.2023843125,16,0.07945042103528976,981,0.05,3825,15803,16,0.0001
990.15,-38.611561900000005,16,0.08694774657487869,1178,0.05,4825,19803,20,0.0001
991.7916666666666,-34.367882083333335,15,0.0841619223356247,1505,0.05,5825,23803,24,0.0001
992.9642857142857,-33.867088714285714,16,0.00021096988348290324,1709,0.05,6825,27803,28,0.0001
993.84375,-28.996887281249997,15,0.07918649166822433,2036,0.05,7825,31803,32,0.0001
992.1111111111111,-25.694899777777774,16,0.006442038342356682,2230,0.05,8803,35716,36,0.0001
977.425,-27.598265225,16,0.08614515513181686,2399,0.05,9649,39097,40,0.0001
979.4772727272727,-27.474578090909095,15,0.010395861230790615,2728,0.05,10649,43097,44,0.0001
979.0416666666666,-26.737057500000002,16,0.0034569264389574528,2921,0.05,11623,46994,48,0.0001
967.7115384615385,-22.00124578846154,15,0.0018221023492515087,3162,0.05,12455,50321,52,0.0001
957.8571428571429,-22.19478357142857,16,0.006258394103497267,3326,0.05,13284,53640,56,0.0001
960.6666666666666,-18.2984655,16,0.0037506199441850185,3527,0.05,14284,57640,60,0.0001
963.125,-16.545852609375,15,0.08796172589063644,3918,0.05,15284,61640,64,0.0001
965.2941176470588,-15.549631661764709,15,0.014876393601298332,4217,0.05,16284,65640,68,0.0001
967.2222222222222,-14.960453847222222,14,0.1659710705280304,4643,0.05,17284,69640,72,0.0001
968.9473684210526,-10.42742227631579,14,0.0020398329943418503,5249,0.05,18284,73640,76,0.0001
970.5,-8.137693225000001,13,0.11124376207590103,5634,0.05,19284,77640,80,0.0001
971.9047619047619,-7.523630083333335,13,0.023402946069836617,6230,0.05,20284,81640,84,0.0001
973.1818181818181,-6.966283397727273,12,0.09079227596521378,6634,0.05,21284,85640,88,0.0001
974.3478260869565,-6.200576152173914,12,0.09306102246046066,7016,0.05,22284,89640,92,0.0001
975.4166666666666,-7.62852090625,12,0.014816230162978172,7685,0.05,23284,93640,96,0.0001
976.4,-9.13291717,12,0.0014190537622198462,8078,0.05,24284,97640,100,0.0001
