time/time_elapsed,time/fps,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates
174,22,0.0001,0.0001781683531589806,-51.8134565,0.6199999999999997,4000,4,1000.0,874
372,21,0.0001,0.00021811758051626384,-45.705916875,0.24000000000000044,8000,8,1000.0,1874
679,17,0.0001,0.16764980554580688,-28.60725433333333,0.05,11602,12,966.8333333333334,2775
840,17,0.0001,0.18334296345710754,-17.7088419375,0.05,14890,16,930.625,3597
1089,17,0.0001,0.08965158462524414,-16.846437,0.05,18890,20,944.5,4597
1465,15,0.0001,0.0023931581526994705,-16.814730416666666,0.05,22890,24,953.75,5597
1660,16,0.0001,0.006702725309878588,-15.417531892857141,0.05,26890,28,960.3571428571429,6597
1995,15,0.0001,0.11426886171102524,-16.705186249999997,0.05,30890,32,965.3125,7597
2177,15,0.0001,0.19496798515319824,-17.671527111111107,0.05,34276,36,952.1111111111111,8443
2320,16,0.0001,0.010784219950437546,-21.479969124999997,0.05,37347,40,933.675,9211
2609,15,0.0001,0.08437740802764893,-22.102100249999996,0.05,40733,44,925.75,10058
2797,15,0.0001,0.1076790988445282,-22.984576625,0.05,44733,48,931.9375,11058
2951,16,0.0001,0.20243634283542633,-25.198924442307693,0.05,47966,52,922.4230769230769,11866
3271,15,0.0001,0.0004101717786397785,-27.518166410714286,0.05,51966,56,927.9642857142857,12866
3464,16,0.0001,0.21841582655906677,-29.154661083333334,0.05,55966,60,932.7666666666667,13866
3659,16,0.0001,0.002343655563890934,-30.31179375,0.05,59966,64,936.96875,14866
3983,16,0.0001,0.0004738545685540885,-30.85652723529412,0.05,63966,68,940.6764705882352,15866
4163,16,0.0001,0.0014292927226051688,-32.62107366666667,0.05,67713,72,940.4583333333334,16803
4406,16,0.0001,0.01436620857566595,-32.375662565789476,0.05,71125,76,935.8552631578947,17656
4557,16,0.0001,0.08758624643087387,-35.208354087500005,0.05,74229,80,927.8625,18432
4726,16,0.0001,0.01199937704950571,-35.60610253571429,0.05,77606,84,923.8809523809524,19276
4994,16,0.0001,0.0029356922022998333,-35.64590073863637,0.05,81082,88,921.3863636363636,20145
5193,16,0.0001,0.0019295233068987727,-35.123337293478265,0.05,85082,92,924.804347826087,21145
5393,16,0.0001,0.17897306382656097,-33.66479316666667,0.05,89082,96,927.9375,22145
5717,16,0.0001,0.2212732434272766,-31.926080320000004,0.05,93082,100,930.82,23145
5910,16,0.0001,0.08655894547700882,-30.79148011,0.05,97082,104,930.82,24145
