time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/n_updates,time/total_timesteps,train/loss,train/learning_rate
4,-54.1264495,33,1000.0,0.9239999999999999,118,874,4000,0.00029123586136847734,0.0001
8,-55.22767075,33,1000.0,0.8480000000000001,242,1874,8000,0.08315397053956985,0.0001
12,-57.08395183333334,27,1000.0,0.772,430,2874,12000,0.10323955118656158,0.0001
16,-58.8493926875,29,1000.0,0.696,541,3874,16000,5.158369094715454e-05,0.0001
20,-59.96447075,27,1000.0,0.6200000000000001,735,4874,20000,0.00021380383986979723,0.0001
24,-60.190479416666655,28,1000.0,0.544,850,5874,24000,0.00026991244521923363,0.0001
28,-60.37048367857142,28,1000.0,0.46799999999999997,967,6874,28000,0.00011930264008697122,0.0001
32,-62.030314000000004,27,1000.0,0.3919999999999999,1157,7874,32000,6.087774454499595e-05,0.0001
36,-58.96920697222223,28,1000.0,0.31600000000000006,1271,8874,36000,5.0934362661791965e-05,0.0001
40,-53.48762367499999,27,1000.0,0.24,1461,9874,40000,0.0015959707088768482,0.0001
44,-42.79960672727271,27,1000.0,0.16400000000000015,1578,10874,44000,0.004110472276806831,0.0001
48,-36.62191435416667,28,1000.0,0.08800000000000008,1695,11874,48000,0.2634618580341339,0.0001
52,-33.24554546153846,27,1000.0,0.05,1891,12874,52000,0.0028763560112565756,0.0001
56,-34.074355482142856,27,989.3214285714286,0.05,1991,13725,55402,0.0774080827832222,0.0001
60,-33.33699956666667,28,990.0333333333333,0.05,2108,14725,59402,0.2695577144622803,0.0001
64,-33.116664156249996,27,987.546875,0.05,2264,15675,63203,0.16056261956691742,0.0001
68,-33.12510626470588,28,981.9705882352941,0.05,2370,16568,66774,0.08374050259590149,0.0001
72,-33.53263145833333,27,975.0694444444445,0.05,2547,17426,70205,0.026999985799193382,0.0001
76,-33.5437289868421,27,971.1578947368421,0.05,2653,18326,73808,0.07292129099369049,0.0001
80,-34.6839546875,28,972.6,0.05,2773,19326,77808,0.17604097723960876,0.0001
84,-35.88314321428571,27,973.9047619047619,0.05,2969,20326,81808,0.0007803711341693997,0.0001
88,-36.101189829545454,27,975.0909090909091,0.05,3087,21326,85808,0.003169035306200385,0.0001
92,-36.56112680434783,28,976.1739130434783,0.05,3205,22326,89808,0.001198110170662403,0.0001
96,-37.23338840624999,27,977.1666666666666,0.05,3400,23326,93808,0.00022702977003064007,0.0001
100,-37.28153938,27,978.08,0.05,3521,24326,97808,0.0755327045917511,0.0001
