rollout/exploration_rate,train/loss,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean
0.6199999999999997,0.09222030639648438,4000,0.0001,4,-53.508288,12,321,874,1000.0
0.24000000000000044,0.08191875368356705,8000,0.0001,8,-45.53761887500001,11,701,1874,1000.0
0.05,0.08131811767816544,11348,0.0001,12,-46.4980535,10,1083,2711,945.6666666666666
0.05,0.16854113340377808,15348,0.0001,16,-35.864607375,11,1328,3711,959.25
0.05,0.00830693170428276,18335,0.0001,20,-35.2727196,12,1497,4458,916.75
0.05,0.0015799819957464933,22335,0.0001,24,-27.388537624999998,11,1870,5458,930.625
0.05,0.25685471296310425,25300,0.0001,28,-27.24872014285714,12,2029,6199,903.5714285714286
0.05,0.169959157705307,29300,0.0001,32,-28.666361124999998,13,2244,7199,915.625
0.05,0.001060769078321755,33300,0.0001,36,-30.421815861111114,12,2590,8199,925.0
0.05,0.0038660243153572083,37300,0.0001,40,-29.498788774999998,13,2802,9199,932.5
0.05,0.0025034951977431774,41300,0.0001,44,-25.941430659090905,13,3161,10199,938.6363636363636
0.05,0.19394700229167938,44962,0.0001,48,-23.987904833333335,13,3361,11115,936.7083333333334
0.05,0.0006601583445444703,48849,0.0001,52,-26.662552269230773,13,3554,12087,939.4038461538462
0.05,0.09612729400396347,51960,0.0001,56,-28.405641589285715,13,3905,12864,927.8571428571429
0.05,0.17127029597759247,55960,0.0001,60,-27.921907183333335,13,4103,13864,932.6666666666666
0.05,0.0016939558554440737,59960,0.0001,64,-30.220849859375,13,4302,14864,936.875
0.05,0.0005932081257924438,63960,0.0001,68,-31.26233701470588,13,4648,15864,940.5882352941177
0.05,6.400446727639064e-05,67960,0.0001,72,-31.058343319444443,13,4866,16864,943.8888888888889
0.05,0.10331130772829056,71301,0.0001,76,-31.335257815789472,13,5236,17700,938.171052631579
0.05,0.00044721897575072944,75301,0.0001,80,-31.8893120625,13,5464,18700,941.2625
0.05,0.0023845513351261616,79015,0.0001,84,-30.54324259523809,13,5678,19628,940.6547619047619
0.05,0.2327607274055481,83015,0.0001,88,-30.29524467045455,13,6075,20628,943.3522727272727
0.05,0.08294720947742462,86904,0.0001,92,-31.163662391304353,13,6322,21600,944.6086956521739
0.05,0.002265270333737135,90904,0.0001,96,-30.731252281250004,13,6687,22600,946.9166666666666
0.05,0.005079998169094324,94904,0.0001,100,-29.82086703,13,6913,23600,949.04
0.05,0.10161680728197098,98904,0.0001,104,-29.07735791,13,7136,24600,949.04
