rollout/exploration_rate,train/loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,train/n_updates,time/episodes
0.9239999999999999,0.0821281149983406,-54.48890875,102,38,1000.0,0.0001,4000,874,4
0.8480000000000001,0.09169372916221619,-54.482106625,216,36,1000.0,0.0001,8000,1874,8
0.772,8.378316852031276e-05,-55.43263425,409,29,1000.0,0.0001,12000,2874,12
0.696,0.07600957900285721,-55.886775,524,30,1000.0,0.0001,16000,3874,16
0.6200000000000001,0.09484943747520447,-56.2206694,719,27,1000.0,0.0001,20000,4874,20
0.544,2.89967683784198e-05,-56.15627108333333,836,28,1000.0,0.0001,24000,5874,24
0.46799999999999997,0.00019515238818712533,-49.42701325,954,29,1000.0,0.0001,28000,6874,28
0.3919999999999999,0.10083436965942383,-46.95086259375,1150,27,1000.0,0.0001,32000,7874,32
0.31600000000000006,0.10047958791255951,-45.44595266666667,1268,28,1000.0,0.0001,36000,8874,36
0.24,0.0007603245321661234,-42.842329525000004,1431,27,1000.0,0.0001,40000,9874,40
0.17304399999999986,0.09551266580820084,-38.968610431818185,1535,28,989.1818181818181,0.0001,43524,10755,44
0.09704400000000002,0.0007624977151863277,-36.1146735625,1654,28,990.0833333333334,0.0001,47524,11755,48
0.05,0.09619465470314026,-33.23720269230769,1804,28,990.8461538461538,0.0001,51524,12755,52
0.05,0.00519954226911068,-33.90440275,1922,28,991.5,0.0001,55524,13755,56
0.05,0.10804776847362518,-31.82163263333334,2042,29,992.0666666666667,0.0001,59524,14755,60
0.05,0.17197199165821075,-31.06162471875,2237,28,992.5625,0.0001,63524,15755,64
0.05,0.0019474198343232274,-29.07275819117647,2360,28,993.0,0.0001,67524,16755,68
0.05,0.1807793527841568,-28.985872708333332,2537,27,985.25,0.0001,70938,17609,72
0.05,0.0029053937178105116,-29.019035684210525,2660,28,986.0263157894736,0.0001,74938,18609,76
0.05,0.08916034549474716,-27.385154362499996,2791,28,986.725,0.0001,78938,19609,80
0.05,0.08919500559568405,-21.59931408333333,2984,27,981.3690476190476,0.0001,82435,20483,84
0.05,0.008330809883773327,-17.61304327272727,3108,27,982.2159090909091,0.0001,86435,21483,88
0.05,0.08694221079349518,-10.218621499999998,3315,27,982.9891304347826,0.0001,90435,22483,92
0.05,0.4384492039680481,-7.118167395833333,3439,27,983.6979166666666,0.0001,94435,23483,96
0.05,0.08081362396478653,-7.596985139999999,3562,27,984.35,0.0001,98435,24483,100
