time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/clip_fraction
1,1000.0,49,2048,-55.012168,41,,,,,,,,,,
2,1000.0,126,4096,-48.7854095,32,0.0003,0.011137604,0.0841175764799118,0.2,0.7204358898103237,0.004014909267425537,-0.012431881464726758,-1.598595953732729,10,0.13603515625
3,1000.0,204,6144,-43.04402116666666,30,0.0003,0.012434501,0.20767904818058014,0.2,0.6989331202581525,0.019368231296539307,-0.012463213378214277,-1.5735734324902295,20,0.174658203125
4,1000.0,296,8192,-31.778713125,27,0.0003,0.01966,0.12621480226516724,0.2,0.4770201569423079,-0.1208944320678711,-0.022750730223197024,-1.524705970659852,30,0.18369140625
5,1000.0,389,10240,-31.3761477,26,0.0003,0.019265015,0.2180701494216919,0.2,0.7147411776706576,0.3013480305671692,-0.017836067313328385,-1.469138141348958,40,0.123583984375
6,1000.0,472,12288,-32.32757183333333,26,0.0003,0.01576242,0.05264947935938835,0.2,0.6110846896888689,0.6140722930431366,-0.007941970549291,-1.490239705890417,50,0.1498046875
7,1000.0,553,14336,-27.674923857142858,25,0.0003,0.01225492,0.1269824206829071,0.2,0.6017674070317298,0.7692188024520874,-0.005928924697218463,-1.456495800241828,60,0.158349609375
8,1000.0,634,16384,-27.8667441875,25,0.0003,0.015675912,0.06624208390712738,0.2,0.28624626687960697,0.8564328849315643,-0.012843676799093373,-1.4593724310398102,70,0.187841796875
9,994.8888888888889,715,18432,-33.43133255555555,25,0.0003,0.011321373,0.050158336758613586,0.2,0.21942497073905542,0.9601040594279766,-0.010433325488702395,-1.4106930032372476,80,0.132470703125
10,924.6818181818181,798,20480,-24.501795409090906,25,0.0003,0.36990225,0.5170739889144897,0.2,7.165212101489305,0.5428556501865387,0.020422507270995992,-1.2163044415414332,90,0.4580078125
11,930.9583333333334,880,22528,-11.688442500000003,25,0.0003,0.012494575,2.742046356201172,0.2,13.57548393011093,0.6838361024856567,0.010989275379688478,-1.1723697965964675,100,0.30673828125
12,936.2692307692307,962,24576,-0.8338386538461566,25,0.0003,0.012992287,1.5813251733779907,0.2,5.449872602149844,0.8883267715573311,0.0006714872797601856,-1.1981910057365894,110,0.205224609375
13,940.8214285714286,1179,26624,11.080242607142853,22,0.0003,0.02239455,0.45945268869400024,0.2,3.914607167802751,0.9112816825509071,-0.007524582694168202,-1.2607128649950028,120,0.134716796875
14,944.7666666666667,1264,28672,19.547301299999997,22,0.0003,0.01708821,1.4069106578826904,0.2,5.1456651832908396,0.9215133264660835,-0.006402923188579735,-1.0800552448257803,130,0.14775390625
15,948.21875,1346,30720,41.55966184375,22,0.0003,0.013561197,0.8041080832481384,0.2,6.899468587338925,0.9201260581612587,-0.013163767348669354,-1.081203617155552,140,0.17744140625
16,951.2647058823529,1431,32768,58.361860323529406,22,0.0003,0.020739034,1.2656587362289429,0.2,9.7238390956074,0.8896730169653893,-0.001763967289298307,-1.0815725650638341,150,0.244921875
17,953.9722222222222,1516,34816,75.26051247222222,22,0.0003,0.019412346,5.55876350402832,0.2,15.144927103817462,0.8737964630126953,-0.0026578453340334817,-0.986922729946673,160,0.188427734375
18,956.3947368421053,1600,36864,88.07610402631579,23,0.0003,0.03257732,1.190020203590393,0.2,10.540700758993626,0.8253615945577621,-0.007786400594341103,-1.0192113380879164,170,0.24736328125
19,958.575,1681,38912,103.6988975,23,0.0003,0.027250173,0.9626707434654236,0.2,7.860554896295071,0.9067938253283501,-0.003686201327946037,-1.0240426452830433,180,0.24296875
20,960.547619047619,1772,40960,111.35368633333334,23,0.0003,0.013443174,1.0502816438674927,0.2,7.2162398368120195,0.9297119155526161,-0.00879750234016683,-0.9767813378944993,190,0.21328125
21,962.3409090909091,1853,43008,125.47839961363638,23,0.0003,0.03188362,0.42623618245124817,0.2,3.699313104711473,0.9566389881074429,-0.015124505566200241,-1.1336077427491547,200,0.260498046875
22,961.0217391304348,1935,45056,130.30654108695654,23,0.0003,0.038879875,2.9417617321014404,0.2,11.804436074569821,0.9303452223539352,-0.008559508906910197,-0.9706604892387987,210,0.2576171875
23,962.6458333333334,2015,47104,131.491321,23,0.0003,0.089343116,0.825569748878479,0.2,7.697333043254912,0.9144889041781425,-0.012500848996569402,-1.151059319637716,220,0.23046875
24,964.14,2097,49152,126.62658634000002,23,0.0003,0.023154568,0.17128251492977142,0.2,1.213568116701208,0.9671415500342846,-0.003294619506777963,-1.2978348452597857,230,0.221826171875
25,965.5192307692307,2286,51200,125.39780513461541,22,0.0003,0.023367682,0.28074467182159424,0.2,1.8808717756532132,0.9710728377103806,-0.012311148850130849,-1.261046575754881,240,0.203466796875
26,967.4,2368,53248,141.1746919636364,22,0.0003,0.022503892,0.8745325803756714,0.2,3.36494000479579,0.9603594541549683,0.0016638423257973045,-1.1768856544047595,250,0.203759765625
27,968.5438596491229,2451,55296,147.93534182456142,22,0.0003,0.027410485,1.417365550994873,0.2,11.59200306981802,0.9114575535058975,-0.00897611909895204,-0.9064744060859085,260,0.21572265625
28,969.6101694915254,2533,57344,153.97881133898306,22,0.0003,0.029033706,0.41567462682724,0.2,5.395495301298797,0.970226489007473,-0.0015763277289806866,-1.0490591030567884,270,0.2541015625
