timesteps,eval_seed,episode_reward,episode_length
425000,200,-55.835962,1000
425000,201,93.30855,1000
425000,202,255.072464,1000
425000,203,33.333333,1000
425000,204,-47.169811,1000
450000,200,385.804416,1000
450000,201,97.026022,1000
450000,202,631.884058,1000
450000,203,30.555556,1000
450000,204,450.943396,1000
475000,200,133.438486,1000
475000,201,85.873606,1000
475000,202,823.913043,1000
475000,203,27.777778,1000
475000,204,367.924528,1000
500000,200,190.22082,1000
500000,201,85.873606,1000
500000,202,852.898551,1000
500000,203,13.888889,1000
500000,204,360.377358,1000
525000,200,177.602524,1000
525000,201,587.732342,1000
525000,202,863.768116,1000
525000,203,158.333333,1000
525000,204,379.245283,1000
550000,200,171.293375,1000
550000,201,26.394052,1000
550000,202,838.405797,1000
550000,203,-41.666667,1000
550000,204,326.415094,1000
575000,200,404.731861,1000
575000,201,453.903346,1000
575000,202,780.434783,1000
575000,203,186.111111,1000
575000,204,364.150943,1000
600000,200,426.81388,1000
600000,201,554.275093,1000
600000,202,816.666667,1000
600000,203,38.888889,1000
600000,204,435.849057,1000
625000,200,376.340694,1000
625000,201,59.851301,1000
625000,202,733.333333,1000
625000,203,11.111111,1000
625000,204,345.283019,1000
650000,200,338.485804,1000
650000,201,44.981413,1000
650000,202,722.463768,1000
650000,203,25.0,1000
650000,204,307.54717,1000
675000,200,373.18612,1000
675000,201,89.591078,1000
675000,202,885.507246,1000
675000,203,32.344444,872
675000,204,669.811321,1000
700000,200,269.085174,1000
700000,201,100.743494,1000
700000,202,765.942029,1000
700000,203,38.888889,1000
700000,204,466.037736,1000
725000,200,404.731861,1000
725000,201,89.591078,1000
725000,202,765.942029,1000
725000,203,19.444444,1000
725000,204,360.377358,1000
750000,200,373.18612,1000
750000,201,89.591078,1000
750000,202,758.695652,1000
750000,203,-29.266667,627
750000,204,285.498113,863
775000,200,193.375394,1000
775000,201,56.133829,1000
775000,202,668.115942,1000
775000,203,30.555556,1000
775000,204,345.283019,1000
800000,200,398.422713,1000
800000,201,89.591078,1000
800000,202,729.710145,1000
800000,203,33.333333,1000
800000,204,383.018868,1000
825000,200,385.804416,1000
825000,201,85.873606,1000
825000,202,744.202899,1000
825000,203,30.555556,1000
825000,204,367.924528,1000
850000,200,130.283912,1000
850000,201,93.30855,1000
850000,202,657.246377,1000
850000,203,33.333333,1000
850000,204,345.283019,1000
875000,200,168.138801,1000
875000,201,89.591078,1000
875000,202,621.014493,1000
875000,203,27.777778,1000
875000,204,322.641509,1000
900000,200,344.794953,1000
900000,201,539.405204,1000
900000,202,624.637681,1000
900000,203,244.444444,1000
900000,204,469.811321,1000
925000,200,105.047319,1000
925000,201,93.30855,1000
925000,202,646.376812,1000
925000,203,27.777778,1000
925000,204,367.924528,1000
950000,200,404.731861,1000
950000,201,654.64684,1000
950000,202,653.623188,1000
950000,203,280.555556,1000
950000,204,477.358491,1000
975000,200,309.431861,954
975000,201,669.516729,1000
975000,202,729.710145,1000
975000,203,355.555556,1000
975000,204,481.132075,1000
1000000,200,398.422713,1000
1000000,201,632.342007,1000
1000000,202,617.391304,1000
1000000,203,255.555556,1000
1000000,204,601.886792,1000
