time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/value_loss
34,1,1000.0,403456,38.67829299,59,,,,,,,,,,
18,2,1000.0,405504,39.2750564,226,-1.1227178366854786,0.9437331594526768,0.025291257,-0.03199165117694065,0.2,0.0003,1970,0.277490234375,0.06633193790912628,0.4862951257149689
14,3,1000.0,407552,38.78886379,409,-1.2632770031690597,0.9762890599668026,0.029246354,-0.030833333591726842,0.2,0.0003,1980,0.212353515625,0.02577313780784607,0.2616955306788441
13,4,1000.0,409600,38.29325989,596,-1.3245087675750256,0.9803332928568125,0.024211723,-0.011604236871062313,0.2,0.0003,1990,0.205224609375,0.013034392148256302,0.20725473805505318
13,5,1000.0,411648,38.1444756,775,-1.2264854095876216,0.9802218936383724,0.028339384,-0.03019377833552426,0.2,0.0003,2000,0.204150390625,0.011546056717634201,0.2444527523999568
12,6,1000.0,413696,37.9919838,961,-1.348066969588399,0.9877439206466079,0.015597296,-0.011152827246769447,0.2,0.0003,2010,0.1482421875,0.02501777932047844,0.14362116825650445
12,7,1000.0,415744,34.28119035,1140,-1.3186361819505692,0.9866454591974616,0.023034176,-0.01597293768354575,0.2,0.0003,2020,0.190576171875,0.031050872057676315,0.2130046204838436
12,8,1000.0,417792,33.31377461,1321,-1.3374938178807496,0.994006082881242,0.021815334,-0.022982381298788823,0.2,0.0003,2030,0.244140625,0.020997393876314163,0.1067358130676439
12,9,1000.0,419840,31.41498459,1503,-1.3901021681725978,0.9961411412805319,0.021028956,-0.019024416960019153,0.2,0.0003,2040,0.153076171875,0.03301725536584854,0.09429472242482007
12,10,1000.0,421888,30.666928890000005,1686,-1.251223110035062,0.9925198550336063,0.017167043,-0.02434583300491795,0.2,0.0003,2050,0.131787109375,0.0033612772822380066,0.18334129522554576
12,11,1000.0,423936,24.894450959999993,1870,-1.273497413471341,0.9880086574703455,0.019131072,-0.02510338934371248,0.2,0.0003,2060,0.197265625,0.006069682538509369,0.27422818397171794
10,12,1000.0,425984,28.897590009999995,2324,-0.9983570635318756,0.9694256093353033,0.028601656,-0.032219362939940766,0.2,0.0003,2070,0.231494140625,0.0035974308848381042,0.7288352623814717
10,13,1000.0,428032,25.813027259999995,2504,-0.9606681570410729,0.9221231341362,0.021772638,-0.018600324928411283,0.2,0.0003,2080,0.245166015625,0.10237014293670654,1.3635704800020902
10,14,1000.0,430080,19.85011574,2685,-1.1939513631165029,0.9784664586186409,0.027410828,-0.023227718952693977,0.2,0.0003,2090,0.22421875,0.10589087009429932,0.38541013196809215
10,15,1000.0,432128,16.656602919999997,2867,-1.1124928563833236,0.9771707560867071,0.023166772,-0.008438468309759629,0.2,0.0003,2100,0.17939453125,0.16874736547470093,0.9290310087846592
10,16,1000.0,434176,18.308875020000002,3047,-1.1526640513911843,0.9637632668018341,0.024837881,-0.021011375468515326,0.2,0.0003,2110,0.22119140625,0.4293953776359558,1.746989138564095
10,17,1000.0,436224,22.272514299999997,3188,-0.9883205819875002,0.9660925790667534,0.033591386,-0.01506597873813007,0.2,0.0003,2120,0.239892578125,0.10868479311466217,1.301198441721499
11,18,1000.0,438272,21.848363649999996,3273,-0.9443926991894841,0.9621312022209167,0.045678407,-0.01804415109072579,0.2,0.0003,2130,0.278271484375,0.154861181974411,1.9519615762401372
11,19,1000.0,440320,22.2227706,3358,-1.0941641375422477,0.9853903260082006,0.030311637,-0.0206229543837253,0.2,0.0003,2140,0.2400390625,0.14758500456809998,0.6701666023116559
11,20,1000.0,442368,25.33411763,3512,-0.9379395382478833,0.9799412749707699,0.03446324,-0.01725973652792163,0.2,0.0003,2150,0.2583984375,0.6438066363334656,1.5403655042406172
11,21,1000.0,444416,36.57123443,3686,-0.8661650437861681,0.9843056052923203,0.043115113,-0.027548852680774873,0.2,0.0003,2160,0.239208984375,0.12306107580661774,1.4782516950741411
11,22,1000.0,446464,50.56540336,3860,-0.9954333594068885,0.9839639626443386,0.047325373,-0.019556132642901503,0.2,0.0003,2170,0.251171875,0.34330037236213684,1.5395454453770072
11,23,1000.0,448512,60.94219157,4038,-0.6435754398815334,0.7989461123943329,0.035416808,-0.009054135737824254,0.2,0.0003,2180,0.25986328125,0.48694103956222534,3.1007999984547494
10,24,1000.0,450560,63.61660249,4501,-0.7815621858462691,0.978634150698781,0.048102684,-0.020554387957963625,0.2,0.0003,2190,0.275634765625,0.3234690725803375,1.9000539126805962
10,25,1000.0,452608,74.50412116,4681,-1.1703720852732657,0.9855561517179012,0.039385494,-0.013088799847173505,0.2,0.0003,2200,0.255224609375,0.04606954753398895,0.4955268235062249
10,26,1000.0,454656,78.47786662,4858,-0.5996701332740486,0.931050531566143,0.14659172,-0.035364937625126915,0.2,0.0003,2210,0.310302734375,0.45828601717948914,2.6198896788991988
10,27,1000.0,456704,91.67320585000002,5034,-1.0554324213415385,0.993553179781884,0.04093333,-0.01760855831525987,0.2,0.0003,2220,0.25537109375,0.21201661229133606,0.7938058114610612
10,28,1000.0,458752,100.37130491000002,5215,-0.602841623686254,0.9461656324565411,0.029568309,-0.00500741532741813,0.2,0.0003,2230,0.240576171875,0.4310040771961212,2.3508811021223663
11,29,1000.0,460800,111.56737044000002,5397,-0.8236678145825863,0.9801147673279047,0.06640089,-0.016770240727055352,0.2,0.0003,2240,0.28046875,0.15551671385765076,2.2667202004231513
11,30,1000.0,462848,116.24268985000002,5578,-0.5750912064686418,0.8625926673412323,0.035937972,-0.01887644263333641,0.2,0.0003,2250,0.25771484375,0.45584604144096375,4.081147303059697
11,31,1000.0,464896,125.06376368000001,5752,-1.0079577533528208,0.9827801063656807,0.051072586,-0.028325288793712388,0.2,0.0003,2260,0.26845703125,0.3193534314632416,1.6077646862249821
11,32,1000.0,466944,135.60877547,5925,-0.8753563812002539,0.988551857881248,0.041187562,-0.014145930117229,0.2,0.0003,2270,0.2384765625,0.32976168394088745,1.6229348368011416
11,33,1000.0,468992,139.56509497999997,6086,-0.9469894222915173,0.9884221805259585,0.042860072,-0.011192428124923026,0.2,0.0003,2280,0.249462890625,0.260309636592865,1.5617592614144087
11,34,1000.0,471040,143.22146815,6187,-1.1047439366579055,0.9930389206856489,0.057904743,-0.022550057535408997,0.2,0.0003,2290,0.291796875,0.7246522307395935,0.8614942554850131
11,35,1000.0,473088,154.78199624,6286,-0.8969244744628668,0.9934854255989194,0.05861974,-0.011004401060199598,0.2,0.0003,2300,0.2185546875,0.11743748188018799,1.1779798354022204
11,36,1000.0,475136,158.68066536999999,6535,-0.8532794892787934,0.9833025112748146,0.05022388,-0.01700816122465767,0.2,0.0003,2310,0.2720703125,0.13444840908050537,1.7222091440111398
