timesteps,eval_seed,episode_reward,episode_length
25000,200,-27.444795,1000
25000,201,82.156134,1000
25000,202,-16.666667,1000
25000,203,8.333333,1000
25000,204,-16.981132,1000
50000,200,-30.599369,1000
50000,201,26.394052,1000
50000,202,-5.797101,1000
50000,203,27.777778,1000
50000,204,-1.886792,1000
75000,200,-17.981073,1000
75000,201,446.468401,1000
75000,202,573.913043,1000
75000,203,330.555556,1000
75000,204,-1.886792,1000
100000,200,313.341009,978
100000,201,111.895911,1000
100000,202,896.376812,1000
100000,203,51.833333,816
100000,204,462.264151,1000
125000,200,250.157729,1000
125000,201,420.446097,1000
125000,202,791.304348,1000
125000,203,263.888889,1000
125000,204,854.716981,1000
150000,200,647.634069,1000
150000,201,859.107807,1000
150000,202,845.652174,1000
150000,203,625.0,1000
150000,204,650.943396,1000
175000,200,732.807571,1000
175000,201,665.799257,1000
175000,202,860.144928,1000
175000,203,44.444444,1000
175000,204,749.056604,1000
200000,200,341.640379,1000
200000,201,52.416357,1000
200000,202,842.028986,1000
200000,203,5.555556,1000
200000,204,877.358491,1000
225000,200,833.753943,1000
225000,201,818.215613,1000
225000,202,889.130435,1000
225000,203,722.222222,1000
225000,204,450.943396,1000
250000,200,802.208202,1000
250000,201,829.36803,1000
250000,202,871.014493,1000
250000,203,44.444444,1000
250000,204,850.943396,1000
275000,200,770.662461,1000
275000,201,873.977695,1000
275000,202,908.6,914
275000,203,2.777778,1000
275000,204,873.584906,1000
300000,200,414.195584,1000
300000,201,52.416357,1000
300000,202,918.5,815
300000,203,2.777778,1000
300000,204,919.5,805
325000,200,638.170347,1000
325000,201,870.260223,1000
325000,202,914.5,855
325000,203,458.333333,1000
325000,204,843.396226,1000
350000,200,448.895899,1000
350000,201,71.003717,1000
350000,202,867.391304,1000
350000,203,508.333333,1000
350000,204,383.018868,1000
375000,200,474.132492,1000
375000,201,859.107807,1000
375000,202,867.391304,1000
375000,203,519.444444,1000
375000,204,877.358491,1000
400000,200,710.725552,1000
400000,201,123.048327,1000
400000,202,794.927536,1000
400000,203,325.0,1000
400000,204,435.849057,1000
425000,200,594.006309,1000
425000,201,873.977695,1000
425000,202,838.405797,1000
425000,203,186.111111,1000
425000,204,896.226415,1000
450000,200,379.495268,1000
450000,201,494.795539,1000
450000,202,889.130435,1000
450000,203,33.333333,1000
450000,204,420.754717,1000
475000,200,663.40694,1000
475000,201,405.576208,1000
475000,202,457.971014,1000
475000,203,377.777778,1000
475000,204,632.075472,1000
500000,200,373.18612,1000
500000,201,39.50855,539
500000,202,842.028986,1000
500000,203,461.111111,1000
500000,204,628.301887,1000
525000,200,770.662461,1000
525000,201,647.211896,1000
525000,202,740.57971,1000
525000,203,416.666667,1000
525000,204,375.471698,1000
550000,200,354.258675,1000
550000,201,67.286245,1000
550000,202,856.521739,1000
550000,203,16.666667,1000
550000,204,341.509434,1000
575000,200,676.025237,1000
575000,201,290.334572,1000
575000,202,769.565217,1000
575000,203,408.333333,1000
575000,204,443.396226,1000
600000,200,679.179811,1000
600000,201,821.933086,1000
600000,202,852.898551,1000
600000,203,744.444444,1000
600000,204,805.660377,1000
625000,200,530.914826,1000
625000,201,561.710037,1000
625000,202,860.144928,1000
625000,203,486.111111,1000
625000,204,692.45283,1000
650000,200,663.40694,1000
650000,201,818.215613,1000
650000,202,845.652174,1000
650000,203,541.666667,1000
650000,204,541.509434,1000
675000,200,398.422713,1000
675000,201,100.743494,1000
675000,202,856.521739,1000
675000,203,38.888889,1000
675000,204,805.660377,1000
700000,200,650.788644,1000
700000,201,877.695167,1000
700000,202,922.0,780
700000,203,447.222222,1000
700000,204,854.716981,1000
725000,200,455.205047,1000
725000,201,97.026022,1000
725000,202,856.521739,1000
725000,203,47.222222,1000
725000,204,801.886792,1000
750000,200,395.268139,1000
750000,201,97.026022,1000
750000,202,860.144928,1000
750000,203,227.777778,1000
750000,204,360.377358,1000
775000,200,600.315457,1000
775000,201,617.472119,1000
775000,202,736.956522,1000
775000,203,430.555556,1000
775000,204,858.490566,1000
800000,200,594.006309,1000
800000,201,803.345725,1000
800000,202,860.144928,1000
800000,203,77.777778,1000
800000,204,450.943396,1000
825000,200,606.624606,1000
825000,201,669.516729,1000
825000,202,871.014493,1000
825000,203,469.444444,1000
825000,204,767.924528,1000
850000,200,622.397476,1000
850000,201,888.847584,1000
850000,202,881.884058,1000
850000,203,777.777778,1000
850000,204,726.415094,1000
875000,200,565.615142,1000
875000,201,35.126022,620
875000,202,798.550725,1000
875000,203,377.777778,1000
875000,204,843.396226,1000
900000,200,641.324921,1000
900000,201,926.4,736
900000,202,842.028986,1000
900000,203,183.333333,1000
900000,204,881.132075,1000
925000,200,647.634069,1000
925000,201,833.085502,1000
925000,202,863.768116,1000
925000,203,752.777778,1000
925000,204,432.075472,1000
950000,200,439.432177,1000
950000,201,565.427509,1000
950000,202,816.666667,1000
950000,203,-1.966667,354
950000,204,850.943396,1000
975000,200,745.425868,1000
975000,201,859.107807,1000
975000,202,860.144928,1000
975000,203,600.0,1000
975000,204,843.396226,1000
1000000,200,783.280757,1000
1000000,201,758.736059,1000
1000000,202,889.130435,1000
1000000,203,780.555556,1000
1000000,204,850.943396,1000
