rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance
1000.0,-52.423911000000004,1,32,2048,63,,,,,,,,,,
1000.0,-47.200948000000004,2,84,4096,48,0.0003,-1.598826502263546,10,0.6817983732558787,0.2,0.1515625,-0.014000274091085885,0.012005708,0.26354217529296875,-0.007508516311645508
1000.0,-42.32549916666667,3,135,6144,45,0.0003,-1.5743526581674814,20,0.6022450784221292,0.2,0.174755859375,-0.012972148785775062,0.012499522,0.17452512681484222,0.198272705078125
1000.0,-39.7973615,4,185,8192,44,0.0003,-1.5452153570950031,30,0.5430526616983116,0.2,0.152001953125,-0.01913369100439013,0.015522131,0.2667995095252991,-0.13495051860809326
1000.0,-34.6655191,5,236,10240,43,0.0003,-1.5222075719386339,40,0.43025240930728614,0.2,0.20439453125,-0.028644104686100035,0.0342694,0.2552127242088318,0.3434165120124817
1000.0,-37.588222583333334,6,287,12288,42,0.0003,-1.4769325040280818,50,0.5748604173772037,0.2,0.2263671875,-0.024495852139079944,0.023281615,0.17384184896945953,0.5022940337657928
1000.0,-28.96855,7,337,14336,42,0.0003,-1.5216926131397486,60,0.2863446922972798,0.2,0.198095703125,-0.011935336855822242,0.019525873,0.13036608695983887,0.6531054079532623
1000.0,-25.192371625,8,389,16384,42,0.0003,-1.4650184683501721,70,0.6422484640963375,0.2,0.1693359375,-0.01408803969679866,0.014829842,0.06001517176628113,0.7083587050437927
1000.0,-26.129792166666665,9,442,18432,41,0.0003,-1.5060496196150779,80,0.7079311057692393,0.2,0.23291015625,-0.014414019622199703,0.019067882,0.08425811678171158,0.6720677316188812
1000.0,-26.020572699999995,10,495,20480,41,0.0003,-1.5235690727829934,90,0.28416094586136753,0.2,0.187548828125,-0.008189651742577552,0.016101602,0.014440096914768219,0.9140044301748276
1000.0,-26.457397272727267,11,554,22528,40,0.0003,-1.5371962308883667,100,0.2609823646838777,0.2,0.178857421875,-0.011477135353197809,0.019589068,0.11828190088272095,0.9490425698459148
1000.0,-26.739128625000003,12,608,24576,40,0.0003,-1.5205302622169257,110,0.2019842231326038,0.2,0.147314453125,-0.01241261717514135,0.012235303,0.1096242293715477,0.9851160915568471
1000.0,-26.466439769230767,13,745,26624,35,0.0003,-1.534229727461934,120,0.20503293540677986,0.2,0.1404296875,-0.0156864768898231,0.015219202,0.046164583414793015,0.9872717708349228
1000.0,-22.119794678571427,14,797,28672,35,0.0003,-1.5147510524839163,130,0.26420743648777717,0.2,0.17685546875,-0.017935587810643482,0.017107813,0.14392541348934174,0.9797699432820082
1000.0,-18.7565645,15,846,30720,36,0.0003,-1.4832310363650323,140,0.6852867991663516,0.2,0.18447265625,-0.0053770828730193895,0.013339439,0.20182175934314728,0.971117727458477
1000.0,-18.72482228125,16,896,32768,36,0.0003,-1.4693188969045878,150,0.7814311912748962,0.2,0.1654296875,-0.012155332219117554,0.022898361,0.23751436173915863,0.9776462577283382
