timesteps,eval_seed,episode_reward,episode_length
10000,100,8.733333,247
10000,101,143.533003,866
10000,102,48.62724,271
10000,103,486.330935,1000
10000,104,-3.694631,246
20000,100,88.888889,1000
20000,101,315.841584,1000
20000,102,265.591398,1000
20000,103,238.129496,1000
20000,104,91.275168,1000
30000,100,433.333333,1000
30000,101,91.419142,1000
30000,102,57.706093,1000
30000,103,594.244604,1000
30000,104,138.255034,1000
40000,100,692.592593,1000
40000,101,140.129043,504
40000,102,494.103584,870
40000,103,371.223022,1000
40000,104,34.228188,1000
50000,100,33.333333,1000
50000,101,319.141914,1000
50000,102,505.356272,865
50000,103,691.366906,1000
50000,104,295.973154,1000
60000,100,11.111111,1000
60000,101,325.742574,1000
60000,102,667.02509,1000
60000,103,486.330935,1000
60000,104,829.530201,1000
70000,100,44.444444,1000
70000,101,338.943894,1000
70000,102,75.62724,1000
70000,103,712.94964,1000
70000,104,27.516779,1000
80000,100,751.851852,1000
80000,101,395.049505,1000
80000,102,763.799283,1000
80000,103,878.417266,1000
80000,104,400.0,1000
90000,100,901.3,987
90000,101,843.894389,1000
90000,102,634.767025,1000
90000,103,529.496403,1000
90000,104,477.181208,1000
100000,100,874.074074,1000
100000,101,352.145215,1000
100000,102,871.326165,1000
100000,103,882.014388,1000
100000,104,816.107383,1000
