timesteps,eval_seed,episode_reward,episode_length
10000,100,-92.722222,706
10000,101,-80.593069,500
10000,102,-115.499642,837
10000,103,-24.460432,1000
10000,104,-22.818792,1000
20000,100,8.833333,246
20000,101,-67.293069,367
20000,102,48.62724,271
20000,103,-60.960432,366
20000,104,-3.594631,245
30000,100,-7.781481,264
30000,101,-74.192739,469
30000,102,-28.641577,291
30000,103,-67.563309,468
30000,104,-60.685906,279
40000,100,33.333333,1000
40000,101,-24.092409,1000
40000,102,75.62724,1000
40000,103,-13.669065,1000
40000,104,20.805369,1000
50000,100,200.0,1000
50000,101,167.326733,1000
50000,102,72.043011,1000
50000,103,108.633094,1000
50000,104,118.120805,1000
60000,100,662.962963,1000
60000,101,-33.993399,1000
60000,102,82.795699,1000
60000,103,241.726619,1000
60000,104,10.738255,1000
70000,100,7.407407,1000
70000,101,167.326733,1000
70000,102,43.369176,1000
70000,103,266.906475,1000
70000,104,-2.684564,1000
80000,100,11.111111,1000
80000,101,-37.293729,1000
80000,102,46.953405,1000
80000,103,-24.460432,1000
80000,104,-2.684564,1000
90000,100,14.814815,1000
90000,101,190.429043,1000
90000,102,54.121864,1000
90000,103,457.553957,1000
90000,104,4.026846,1000
100000,100,22.222222,1000
100000,101,-73.59736,1000
100000,102,64.874552,1000
100000,103,-74.820144,1000
100000,104,10.738255,1000
