time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate
1,61,2048,33,1000.0,-56.18387250000001,,,,,,,,,,
2,46,4096,87,1000.0,-50.54358825,-1.600261602178216,0.0002822279930114746,10,0.100244140625,0.2,0.012569495,0.6452578134834767,0.28803008794784546,-0.009222922241315245,0.0003
3,41,6144,148,1000.0,-40.970312,-1.5796410616487264,-0.06499290466308594,20,0.100146484375,0.2,0.007888118,0.5726099317660556,0.19600391387939453,-0.009320670523447917,0.0003
4,40,8192,200,1000.0,-37.569183875,-1.532749979570508,-0.05746579170227051,30,0.1966796875,0.2,0.013936691,0.6138197984080762,0.14275339245796204,-0.02180862800159957,0.0003
5,32,10240,313,1000.0,-37.059368,-1.4983289763331413,0.17234766483306885,40,0.13720703125,0.2,0.014193655,0.4947172272019088,0.08136572688817978,-0.01840281180338934,0.0003
6,33,12288,365,1000.0,-36.102564,-1.4598666090518235,0.2433854341506958,50,0.162109375,0.2,0.015978865,0.3864320708089508,0.06174977868795395,-0.01671088974107988,0.0003
7,34,14336,418,1000.0,-36.07383128571429,-1.502227223291993,0.7612108588218689,60,0.171875,0.2,0.017125834,0.3095181901473552,0.027517899870872498,-0.01870801018085331,0.0003
8,34,16384,470,1000.0,-36.0880285,-1.475453520938754,0.8338844478130341,70,0.157421875,0.2,0.020785794,0.4112536124419421,0.1811041384935379,-0.013953091255098115,0.0003
9,35,18432,524,1000.0,-39.158838,-1.5085206165909768,0.9057665318250656,80,0.197900390625,0.2,0.017834399,0.27594793432217557,0.009506437927484512,-0.018105007247504544,0.0003
10,33,20480,612,1000.0,-39.73665005,-1.478215930610895,0.9442980401217937,90,0.193994140625,0.2,0.013548099,0.23034775112755596,0.06018010154366493,-0.02205301085341489,0.0003
11,33,22528,665,1000.0,-39.731692,-1.458658904209733,0.9561138935387135,100,0.210888671875,0.2,0.013061453,0.22196470849448816,0.1392359882593155,-0.022651226949528792,0.0003
12,34,24576,717,1000.0,-38.77292275,-1.4180916231125593,0.9451034963130951,110,0.228759765625,0.2,0.020554753,0.27602789443917575,0.0712350606918335,-0.015697070295573212,0.0003
13,34,26624,769,1000.0,-38.038011,-1.461449408903718,0.9690169636160135,120,0.185791015625,0.2,0.022956453,0.207785166206304,0.05308038741350174,-0.01695343119863537,0.0003
14,34,28672,822,1000.0,-37.02026453571428,-1.398437464237213,0.9733962137252092,130,0.11767578125,0.2,0.014075392,0.2726849606842734,0.15084844827651978,-0.012180557157262229,0.0003
15,34,30720,900,1000.0,-35.959473933333335,-1.3772641386836768,0.983010146766901,140,0.213330078125,0.2,0.014408457,0.23546936094062404,0.07671649008989334,-0.010989883793808986,0.0003
16,34,32768,953,1000.0,-34.02959871875,-1.391779513657093,0.9862607466056943,150,0.188916015625,0.2,0.023573749,0.22031334352213888,-0.01673029735684395,-0.010140088062325959,0.0003
17,34,34816,1004,988.3142857142857,-32.83688648571429,-1.3992148436605931,0.9804743025451899,160,0.17109375,0.2,0.014940615,0.2485352308722213,0.03455020487308502,-0.011329448621836491,0.0003
18,34,36864,1058,988.9459459459459,-32.580048,-1.2998205550014972,0.7178801894187927,170,0.25556640625,0.2,0.047474217,6.011252155061811,0.22733141481876373,0.0016457174486276926,0.0003
19,35,38912,1110,989.5128205128206,-32.521557538461536,-1.4592449590563774,0.996029737405479,180,0.142138671875,0.2,0.021954998,0.32328478259732946,0.11065010726451874,-0.012478640119661577,0.0003
20,33,40960,1240,990.0243902439024,-31.118048609756105,-1.4572135154157877,0.9950912343338132,190,0.11552734375,0.2,0.008937124,0.20988687513454352,0.08005347847938538,-0.012219986554555362,0.0003
